44002617524 I 20220101000000   000000003228328.00BAHT   BAL000000003228328.00 INITIAL.
44002617524 T 20220105042421   000000000000118.75BAHT   BAL000000003233385.75 FROM00010115943.
44002617524 T 20220105043227   000000000000187.25BAHT   BAL000000003233573.00 FROM00010115943.
44002617524 T 20220105043618   000000000000165.25BAHT   BAL000000003233738.25 FROM00010115943.
44002617524 T 20220105044835   000000000000108.50BAHT   BAL000000003233846.75 FROM00010115943.
44002617524 T 20220105073932   000000000000160.25BAHT   BAL000000003234007.00 FROM00010115943.
44002617524 T 20220105080145   000000000000133.75BAHT   BAL000000003234140.75 FROM00010115943.
44002617524 T 20220101005752   000000000000123.75BAHT   BAL000000003234264.50 FROM44088673004.
44002617524 T 20220101112325   000000000000130.25BAHT   BAL000000003234394.75 FROM44088673004.
44002617524 T 20220101113007   000000000000121.75BAHT   BAL000000003234516.50 FROM44088673004.
44002617524 T 20220101115341   000000000000145.25BAHT   BAL000000003234661.75 FROM44088673004.
44002617524 T 20220101213202   000000000000114.00BAHT   BAL000000003234775.75 FROM44088673004.
44002617524 T 20220102001927   000000000000181.50BAHT   BAL000000003234957.25 FROM44088673004.
44002617524 T 20220102120754   000000000000156.50BAHT   BAL000000003235113.75 FROM44088673004.
44002617524 T 20220102132339   000000000000136.00BAHT   BAL000000003235249.75 FROM44088673004.
44002617524 T 20220102220619   000000000000198.75BAHT   BAL000000003235448.50 FROM44088673004.
44002617524 T 20220103000658   000000000000119.25BAHT   BAL000000003235567.75 FROM44088673004.
44002617524 T 20220103002027   000000000000112.25BAHT   BAL000000003235680.00 FROM44088673004.
44002617524 T 20220103022518   000000000000170.25BAHT   BAL000000003235850.25 FROM44088673004.
44002617524 T 20220103043424   000000000000162.25BAHT   BAL000000003236012.50 FROM44088673004.
44002617524 T 20220103062610   000000000000185.50BAHT   BAL000000003236198.00 FROM44088673004.
44002617524 T 20220103072517   000000000000117.50BAHT   BAL000000003236315.50 FROM44088673004.
44002617524 D 20220101001303   000000000825905.25BAHT   BAL000000004062220.75 TYPE-DE.
44002617524 W 20220101002503   000000000000186.25BAHT   BAL000000004062034.50 .
44002617524 D 20220101004148   000000000998829.25BAHT   BAL000000005060863.75 TYPE-DE.
44002617524 D 20220101010830   000000000794583.75BAHT   BAL000000005855447.50 TYPE-DE.
44002617524 T 20220101013818   000000000000181.50BAHT   BAL000000005855266.00 TO01133011122.
44002617524 T 20220101020416   000000000000100.50BAHT   BAL000000005855165.50 TO10803011297.
44002617524 T 20220101023205   000000000000153.25BAHT   BAL000000005855012.25 TO11870049832.
44002617524 W 20220101025816   000000000000190.00BAHT   BAL000000005854822.25 .
44002617524 T 20220101031758   000000000000106.75BAHT   BAL000000005854715.50 TO10803011297.
44002617524 T 20220101034326   000000000000125.25BAHT   BAL000000005854590.25 TO85614200688.
44002617524 D 20220101034845   000000000362010.50BAHT   BAL000000006216600.75 TYPE-DE.
44002617524 D 20220101035715   000000000378869.00BAHT   BAL000000006595469.75 TYPE-DE.
44002617524 T 20220101035935   000000000000119.00BAHT   BAL000000006595350.75 TO44088673004.
44002617524 D 20220101041452   000000000149511.25BAHT   BAL000000006744862.00 TYPE-DE.
44002617524 W 20220101043754   000000000000145.25BAHT   BAL000000006744716.75 .
44002617524 T 20220101044924   000000000000185.50BAHT   BAL000000006744531.25 TO10803011297.
44002617524 W 20220101045115   000000000000184.25BAHT   BAL000000006744347.00 .
44002617524 T 20220101045827   000000000000139.25BAHT   BAL000000006744207.75 TO00010115943.
44002617524 T 20220101052720   000000000000134.00BAHT   BAL000000006744073.75 TO00010115943.
44002617524 W 20220101053141   000000000000138.50BAHT   BAL000000006743935.25 .
44002617524 D 20220101053614   000000000818145.75BAHT   BAL000000007562081.00 TYPE-DE.
44002617524 W 20220101054335   000000000000176.00BAHT   BAL000000007561905.00 .
44002617524 T 20220101054637   000000000000169.00BAHT   BAL000000007561736.00 TO10803011297.
44002617524 T 20220101061352   000000000000140.00BAHT   BAL000000007561596.00 TO00010115943.
44002617524 W 20220101063140   000000000000110.25BAHT   BAL000000007561485.75 .
44002617524 D 20220101064845   000000000752276.00BAHT   BAL000000008313761.75 TYPE-DE.
44002617524 W 20220101070353   000000000000105.25BAHT   BAL000000008313656.50 .
44002617524 W 20220101071902   000000000000195.50BAHT   BAL000000008313461.00 .
44002617524 D 20220101072816   000000000487233.25BAHT   BAL000000008800694.25 TYPE-DE.
44002617524 T 20220101074031   000000000000133.75BAHT   BAL000000008800560.50 TO00010115943.
44002617524 T 20220101080801   000000000000136.50BAHT   BAL000000008800424.00 TO01133011122.
44002617524 D 20220101082849   000000000101288.25BAHT   BAL000000008901712.25 TYPE-DE.
44002617524 D 20220101083030   000000000630064.25BAHT   BAL000000009531776.50 TYPE-DE.
44002617524 T 20220101084601   000000000000118.25BAHT   BAL000000009531658.25 TO10803011297.
44002617524 W 20220101084944   000000000000128.00BAHT   BAL000000009531530.25 .
44002617524 D 20220101090442   000000000659878.25BAHT   BAL000000010191408.50 TYPE-DE.
44002617524 D 20220101091214   000000000033717.25BAHT   BAL000000010225125.75 TYPE-DE.
44002617524 T 20220101092000   000000000000134.75BAHT   BAL000000010224991.00 TO10803011297.
44002617524 D 20220101094421   000000000532556.00BAHT   BAL000000010757547.00 TYPE-DE.
44002617524 T 20220101095337   000000000000130.25BAHT   BAL000000010757416.75 TO00010115943.
44002617524 D 20220101100529   000000000045177.75BAHT   BAL000000010802594.50 TYPE-DE.
44002617524 T 20220101102715   000000000000105.00BAHT   BAL000000010802489.50 TO11870049832.
44002617524 W 20220101105459   000000000000129.00BAHT   BAL000000010802360.50 .
44002617524 W 20220101111306   000000000000165.75BAHT   BAL000000010802194.75 .
44002617524 W 20220101111749   000000000000166.75BAHT   BAL000000010802028.00 .
44002617524 D 20220101111810   000000000391872.50BAHT   BAL000000011193900.50 TYPE-DE.
44002617524 T 20220101112940   000000000000156.25BAHT   BAL000000011193744.25 TO10803011297.
44002617524 W 20220101113045   000000000000115.00BAHT   BAL000000011193629.25 .
44002617524 D 20220101113912   000000000600342.75BAHT   BAL000000011793972.00 TYPE-DE.
44002617524 W 20220101114019   000000000000175.75BAHT   BAL000000011793796.25 .
44002617524 D 20220101114149   000000000312860.50BAHT   BAL000000012106656.75 TYPE-DE.
44002617524 W 20220101114901   000000000000145.75BAHT   BAL000000012106511.00 .
44002617524 T 20220101120652   000000000000107.50BAHT   BAL000000012106403.50 TO10803011297.
44002617524 T 20220101121721   000000000000128.50BAHT   BAL000000012106275.00 TO11870049832.
44002617524 W 20220101123448   000000000000143.75BAHT   BAL000000012106131.25 .
44002617524 W 20220101125600   000000000000201.25BAHT   BAL000000012105930.00 .
44002617524 D 20220101130459   000000000400240.25BAHT   BAL000000012506170.25 TYPE-DE.
44002617524 W 20220101131215   000000000000102.75BAHT   BAL000000012506067.50 .
44002617524 T 20220101132034   000000000000106.00BAHT   BAL000000012505961.50 TO00010115943.
44002617524 W 20220101132110   000000000000142.50BAHT   BAL000000012505819.00 .
44002617524 W 20220101134622   000000000000133.75BAHT   BAL000000012505685.25 .
44002617524 W 20220101135612   000000000000132.50BAHT   BAL000000012505552.75 .
44002617524 W 20220101135829   000000000000174.25BAHT   BAL000000012505378.50 .
44002617524 W 20220101141637   000000000000168.00BAHT   BAL000000012505210.50 .
44002617524 W 20220101142931   000000000000148.00BAHT   BAL000000012505062.50 .
44002617524 W 20220101144341   000000000000164.75BAHT   BAL000000012504897.75 .
44002617524 D 20220101150240   000000000755915.50BAHT   BAL000000013260813.25 TYPE-DE.
44002617524 T 20220101152554   000000000000139.00BAHT   BAL000000013260674.25 TO11870049832.
44002617524 D 20220101155318   000000000893221.50BAHT   BAL000000014153895.75 TYPE-DE.
44002617524 T 20220101160646   000000000000102.75BAHT   BAL000000014153793.00 TO85614200688.
44002617524 D 20220101162016   000000000957571.50BAHT   BAL000000015111364.50 TYPE-DE.
44002617524 D 20220101162138   000000000233452.50BAHT   BAL000000015344817.00 TYPE-DE.
44002617524 D 20220101163003   000000000888100.75BAHT   BAL000000016232917.75 TYPE-DE.
44002617524 T 20220101163425   000000000000169.00BAHT   BAL000000016232748.75 TO10803011297.
44002617524 D 20220101170123   000000000944623.00BAHT   BAL000000017177371.75 TYPE-DE.
44002617524 T 20220101172825   000000000000188.25BAHT   BAL000000017177183.50 TO11870049832.
44002617524 D 20220101173447   000000000061935.75BAHT   BAL000000017239119.25 TYPE-DE.
44002617524 D 20220101173921   000000000903191.75BAHT   BAL000000018142311.00 TYPE-DE.
44002617524 D 20220101180334   000000000425549.75BAHT   BAL000000018567860.75 TYPE-DE.
44002617524 T 20220101182821   000000000000128.50BAHT   BAL000000018567732.25 TO01133011122.
44002617524 D 20220101183346   000000000582946.00BAHT   BAL000000019150678.25 TYPE-DE.
44002617524 D 20220101184005   000000000096381.00BAHT   BAL000000019247059.25 TYPE-DE.
44002617524 D 20220101185826   000000000954212.50BAHT   BAL000000020201271.75 TYPE-DE.
44002617524 W 20220101191251   000000000000105.25BAHT   BAL000000020201166.50 .
44002617524 T 20220101194034   000000000000130.25BAHT   BAL000000020201036.25 TO10803011297.
44002617524 T 20220101195628   000000000000117.25BAHT   BAL000000020200919.00 TO44088673004.
44002617524 W 20220101200703   000000000000152.75BAHT   BAL000000020200766.25 .
44002617524 T 20220101202335   000000000000201.00BAHT   BAL000000020200565.25 TO85614200688.
44002617524 W 20220101202506   000000000000185.50BAHT   BAL000000020200379.75 .
44002617524 T 20220101204822   000000000000134.00BAHT   BAL000000020200245.75 TO00010115943.
44002617524 W 20220101205903   000000000000186.50BAHT   BAL000000020200059.25 .
44002617524 W 20220101210708   000000000000174.00BAHT   BAL000000020199885.25 .
44002617524 T 20220101212746   000000000000115.00BAHT   BAL000000020199770.25 TO85614200688.
44002617524 D 20220101213619   000000000457520.50BAHT   BAL000000020657290.75 TYPE-DE.
44002617524 W 20220101213915   000000000000125.75BAHT   BAL000000020657165.00 .
44002617524 T 20220101214011   000000000000158.75BAHT   BAL000000020657006.25 TO00010115943.
44002617524 D 20220101214018   000000000524914.25BAHT   BAL000000021181920.50 TYPE-DE.
44002617524 D 20220101215421   000000000260415.25BAHT   BAL000000021442335.75 TYPE-DE.
44002617524 W 20220101215441   000000000000164.00BAHT   BAL000000021442171.75 .
44002617524 W 20220101222407   000000000000193.00BAHT   BAL000000021441978.75 .
44002617524 T 20220101224529   000000000000167.75BAHT   BAL000000021441811.00 TO44088673004.
44002617524 T 20220101225655   000000000000142.00BAHT   BAL000000021441669.00 TO01133011122.
44002617524 D 20220101231845   000000000951624.75BAHT   BAL000000022393293.75 TYPE-DE.
44002617524 T 20220101233733   000000000000131.75BAHT   BAL000000022393162.00 TO01133011122.
44002617524 W 20220101233849   000000000000157.75BAHT   BAL000000022393004.25 .
44002617524 T 20220101233949   000000000000189.00BAHT   BAL000000022392815.25 TO11870049832.
44002617524 D 20220101234619   000000000677312.25BAHT   BAL000000023070127.50 TYPE-DE.
44002617524 T 20220101235545   000000000000151.75BAHT   BAL000000023069975.75 TO00010115943.
44002617524 D 20220102000824   000000000058400.75BAHT   BAL000000023128376.50 TYPE-DE.
44002617524 D 20220102001925   000000000093248.50BAHT   BAL000000023221625.00 TYPE-DE.
44002617524 D 20220102003846   000000000436023.50BAHT   BAL000000023657648.50 TYPE-DE.
44002617524 D 20220102005817   000000000945380.25BAHT   BAL000000024603028.75 TYPE-DE.
44002617524 D 20220102010008   000000000883650.75BAHT   BAL000000025486679.50 TYPE-DE.
44002617524 D 20220102012915   000000000605435.75BAHT   BAL000000026092115.25 TYPE-DE.
44002617524 T 20220102014243   000000000000191.75BAHT   BAL000000026091923.50 TO00010115943.
44002617524 W 20220102014527   000000000000165.00BAHT   BAL000000026091758.50 .
44002617524 T 20220102020630   000000000000189.00BAHT   BAL000000026091569.50 TO01133011122.
44002617524 W 20220102022758   000000000000100.25BAHT   BAL000000026091469.25 .
44002617524 D 20220102022936   000000000435792.25BAHT   BAL000000026527261.50 TYPE-DE.
44002617524 T 20220102023410   000000000000182.00BAHT   BAL000000026527079.50 TO44088673004.
44002617524 D 20220102030008   000000000870087.75BAHT   BAL000000027397167.25 TYPE-DE.
44002617524 W 20220102032650   000000000000182.50BAHT   BAL000000027396984.75 .
44002617524 D 20220102032844   000000000174723.00BAHT   BAL000000027571707.75 TYPE-DE.
44002617524 D 20220102033521   000000000937849.00BAHT   BAL000000028509556.75 TYPE-DE.
44002617524 W 20220102034031   000000000000200.50BAHT   BAL000000028509356.25 .
44002617524 T 20220102040019   000000000000159.50BAHT   BAL000000028509196.75 TO11870049832.
44002617524 T 20220102042220   000000000000131.00BAHT   BAL000000028509065.75 TO01133011122.
44002617524 W 20220102042937   000000000000173.75BAHT   BAL000000028508892.00 .
44002617524 D 20220102043826   000000000597387.25BAHT   BAL000000029106279.25 TYPE-DE.
44002617524 D 20220102044920   000000000640199.00BAHT   BAL000000029746478.25 TYPE-DE.
44002617524 T 20220102051006   000000000000156.25BAHT   BAL000000029746322.00 TO11870049832.
44002617524 D 20220102051427   000000000469559.50BAHT   BAL000000030215881.50 TYPE-DE.
44002617524 W 20220102052836   000000000000192.25BAHT   BAL000000030215689.25 .
44002617524 D 20220102055214   000000000119206.00BAHT   BAL000000030334895.25 TYPE-DE.
44002617524 T 20220102061121   000000000000116.00BAHT   BAL000000030334779.25 TO85614200688.
44002617524 D 20220102062308   000000000074296.25BAHT   BAL000000030409075.50 TYPE-DE.
44002617524 D 20220102063048   000000000300712.50BAHT   BAL000000030709788.00 TYPE-DE.
44002617524 W 20220102064646   000000000000153.50BAHT   BAL000000030709634.50 .
44002617524 W 20220102065054   000000000000154.00BAHT   BAL000000030709480.50 .
44002617524 T 20220102070422   000000000000194.75BAHT   BAL000000030709285.75 TO44088673004.
44002617524 T 20220102070632   000000000000117.25BAHT   BAL000000030709168.50 TO01133011122.
44002617524 D 20220102073200   000000000871099.50BAHT   BAL000000031580268.00 TYPE-DE.
44002617524 W 20220102075157   000000000000199.50BAHT   BAL000000031580068.50 .
44002617524 T 20220102081605   000000000000139.25BAHT   BAL000000031579929.25 TO01133011122.
44002617524 D 20220102082000   000000000394679.75BAHT   BAL000000031974609.00 TYPE-DE.
44002617524 T 20220102084246   000000000000179.50BAHT   BAL000000031974429.50 TO00010115943.
44002617524 W 20220102090507   000000000000137.75BAHT   BAL000000031974291.75 .
44002617524 W 20220102093243   000000000000153.00BAHT   BAL000000031974138.75 .
44002617524 W 20220102094623   000000000000117.00BAHT   BAL000000031974021.75 .
44002617524 T 20220102100801   000000000000109.50BAHT   BAL000000031973912.25 TO01133011122.
44002617524 T 20220102102316   000000000000168.25BAHT   BAL000000031973744.00 TO11870049832.
44002617524 W 20220102105111   000000000000110.75BAHT   BAL000000031973633.25 .
44002617524 W 20220102110017   000000000000174.25BAHT   BAL000000031973459.00 .
44002617524 W 20220102111835   000000000000140.25BAHT   BAL000000031973318.75 .
44002617524 T 20220102111846   000000000000115.25BAHT   BAL000000031973203.50 TO85614200688.
44002617524 W 20220102112559   000000000000118.75BAHT   BAL000000031973084.75 .
44002617524 W 20220102113814   000000000000118.75BAHT   BAL000000031972966.00 .
44002617524 W 20220102115652   000000000000136.75BAHT   BAL000000031972829.25 .
44002617524 D 20220102121156   000000000694914.25BAHT   BAL000000032667743.50 TYPE-DE.
44002617524 W 20220102122200   000000000000172.25BAHT   BAL000000032667571.25 .
44002617524 D 20220102123303   000000000042429.75BAHT   BAL000000032710001.00 TYPE-DE.
44002617524 W 20220102130209   000000000000127.00BAHT   BAL000000032709874.00 .
44002617524 W 20220102131519   000000000000185.25BAHT   BAL000000032709688.75 .
44002617524 D 20220102133553   000000000331254.50BAHT   BAL000000033040943.25 TYPE-DE.
44002617524 T 20220102134636   000000000000117.00BAHT   BAL000000033040826.25 TO01133011122.
44002617524 W 20220102140625   000000000000132.50BAHT   BAL000000033040693.75 .
44002617524 T 20220102142543   000000000000136.25BAHT   BAL000000033040557.50 TO10803011297.
44002617524 W 20220102144135   000000000000183.00BAHT   BAL000000033040374.50 .
44002617524 W 20220102144834   000000000000189.00BAHT   BAL000000033040185.50 .
44002617524 D 20220102150657   000000000457213.50BAHT   BAL000000033497399.00 TYPE-DE.
44002617524 W 20220102152053   000000000000136.00BAHT   BAL000000033497263.00 .
44002617524 T 20220102153715   000000000000103.75BAHT   BAL000000033497159.25 TO11870049832.
44002617524 D 20220102154506   000000000663577.00BAHT   BAL000000034160736.25 TYPE-DE.
44002617524 D 20220102155510   000000000624147.00BAHT   BAL000000034784883.25 TYPE-DE.
44002617524 W 20220102160448   000000000000181.25BAHT   BAL000000034784702.00 .
44002617524 T 20220102160615   000000000000161.00BAHT   BAL000000034784541.00 TO10803011297.
44002617524 D 20220102162105   000000000576315.00BAHT   BAL000000035360856.00 TYPE-DE.
44002617524 W 20220102163158   000000000000115.75BAHT   BAL000000035360740.25 .
44002617524 T 20220102164302   000000000000168.75BAHT   BAL000000035360571.50 TO11870049832.
44002617524 T 20220102165717   000000000000129.75BAHT   BAL000000035360441.75 TO00010115943.
44002617524 T 20220102170052   000000000000120.00BAHT   BAL000000035360321.75 TO10803011297.
44002617524 D 20220102171354   000000000320573.75BAHT   BAL000000035680895.50 TYPE-DE.
44002617524 T 20220102174043   000000000000112.25BAHT   BAL000000035680783.25 TO00010115943.
44002617524 D 20220102175955   000000000241769.00BAHT   BAL000000035922552.25 TYPE-DE.
44002617524 W 20220102182438   000000000000123.00BAHT   BAL000000035922429.25 .
44002617524 W 20220102182827   000000000000102.25BAHT   BAL000000035922327.00 .
44002617524 D 20220102185144   000000000533753.50BAHT   BAL000000036456080.50 TYPE-DE.
44002617524 W 20220102191939   000000000000185.25BAHT   BAL000000036455895.25 .
44002617524 D 20220102192425   000000000877893.50BAHT   BAL000000037333788.75 TYPE-DE.
44002617524 D 20220102194924   000000000328274.75BAHT   BAL000000037662063.50 TYPE-DE.
44002617524 W 20220102200205   000000000000198.75BAHT   BAL000000037661864.75 .
44002617524 T 20220102202726   000000000000103.00BAHT   BAL000000037661761.75 TO10803011297.
44002617524 T 20220102203834   000000000000194.00BAHT   BAL000000037661567.75 TO85614200688.
44002617524 D 20220102210431   000000000576476.75BAHT   BAL000000038238044.50 TYPE-DE.
44002617524 D 20220102212245   000000000921252.25BAHT   BAL000000039159296.75 TYPE-DE.
44002617524 W 20220102213512   000000000000117.00BAHT   BAL000000039159179.75 .
44002617524 W 20220102215256   000000000000136.50BAHT   BAL000000039159043.25 .
44002617524 T 20220102222238   000000000000177.00BAHT   BAL000000039158866.25 TO11870049832.
44002617524 W 20220102223949   000000000000156.00BAHT   BAL000000039158710.25 .
44002617524 T 20220102224742   000000000000121.00BAHT   BAL000000039158589.25 TO10803011297.
44002617524 T 20220102225652   000000000000196.75BAHT   BAL000000039158392.50 TO01133011122.
44002617524 D 20220102231713   000000000252624.50BAHT   BAL000000039411017.00 TYPE-DE.
44002617524 W 20220102234048   000000000000190.50BAHT   BAL000000039410826.50 .
44002617524 T 20220103000140   000000000000197.00BAHT   BAL000000039410629.50 TO11870049832.
44002617524 W 20220103000752   000000000000138.75BAHT   BAL000000039410490.75 .
44002617524 D 20220103000817   000000000206540.75BAHT   BAL000000039617031.50 TYPE-DE.
44002617524 D 20220103002850   000000000310778.75BAHT   BAL000000039927810.25 TYPE-DE.
44002617524 T 20220103003154   000000000000127.25BAHT   BAL000000039927683.00 TO10803011297.
44002617524 W 20220103005923   000000000000172.25BAHT   BAL000000039927510.75 .
44002617524 D 20220103010713   000000000787639.00BAHT   BAL000000040715149.75 TYPE-DE.
44002617524 D 20220103013518   000000000439951.00BAHT   BAL000000041155100.75 TYPE-DE.
44002617524 W 20220103013802   000000000000102.00BAHT   BAL000000041154998.75 .
44002617524 T 20220103015626   000000000000169.00BAHT   BAL000000041154829.75 TO00010115943.
44002617524 T 20220103021255   000000000000115.00BAHT   BAL000000041154714.75 TO00010115943.
44002617524 T 20220103022941   000000000000106.75BAHT   BAL000000041154608.00 TO10803011297.
44002617524 W 20220103023418   000000000000187.00BAHT   BAL000000041154421.00 .
44002617524 D 20220103025314   000000000679687.75BAHT   BAL000000041834108.75 TYPE-DE.
44002617524 T 20220103030412   000000000000198.75BAHT   BAL000000041833910.00 TO01133011122.
44002617524 W 20220103033019   000000000000144.75BAHT   BAL000000041833765.25 .
44002617524 W 20220103035422   000000000000197.75BAHT   BAL000000041833567.50 .
44002617524 W 20220103042143   000000000000114.00BAHT   BAL000000041833453.50 .
44002617524 T 20220103044102   000000000000187.75BAHT   BAL000000041833265.75 TO10803011297.
44002617524 T 20220103050229   000000000000194.50BAHT   BAL000000041833071.25 TO01133011122.
44002617524 T 20220103051833   000000000000102.00BAHT   BAL000000041832969.25 TO01133011122.
44002617524 W 20220103053609   000000000000113.50BAHT   BAL000000041832855.75 .
44002617524 D 20220103054556   000000000929380.75BAHT   BAL000000042762236.50 TYPE-DE.
44002617524 D 20220103060028   000000000547478.75BAHT   BAL000000043309715.25 TYPE-DE.
44002617524 W 20220103060653   000000000000100.00BAHT   BAL000000043309615.25 .
44002617524 W 20220103061744   000000000000160.75BAHT   BAL000000043309454.50 .
44002617524 T 20220103062654   000000000000180.25BAHT   BAL000000043309274.25 TO01133011122.
44002617524 W 20220103064856   000000000000197.50BAHT   BAL000000043309076.75 .
44002617524 T 20220103064930   000000000000174.25BAHT   BAL000000043308902.50 TO00010115943.
44002617524 W 20220103065229   000000000000154.50BAHT   BAL000000043308748.00 .
44002617524 W 20220103070542   000000000000152.50BAHT   BAL000000043308595.50 .
44002617524 W 20220103073206   000000000000146.00BAHT   BAL000000043308449.50 .
44002617524 D 20220103073546   000000000368690.25BAHT   BAL000000043677139.75 TYPE-DE.
44002617524 W 20220103073719   000000000000162.50BAHT   BAL000000043676977.25 .
44002617524 T 20220103075518   000000000000136.50BAHT   BAL000000043676840.75 TO85614200688.
44002617524 T 20220103075746   000000000000187.50BAHT   BAL000000043676653.25 TO11870049832.
44002617524 W 20220103081108   000000000000165.00BAHT   BAL000000043676488.25 .
44002617524 D 20220103081309   000000000569849.00BAHT   BAL000000044246337.25 TYPE-DE.
44002617524 T 20220103081511   000000000000171.50BAHT   BAL000000044246165.75 TO01133011122.
44002617524 T 20220103082014   000000000000164.50BAHT   BAL000000044246001.25 TO10803011297.
44002617524 D 20220103083831   000000000517009.50BAHT   BAL000000044763010.75 TYPE-DE.
44002617524 D 20220103084847   000000000318714.75BAHT   BAL000000045081725.50 TYPE-DE.
44002617524 W 20220103090514   000000000000140.50BAHT   BAL000000045081585.00 .
44002617524 W 20220103092946   000000000000131.25BAHT   BAL000000045081453.75 .
44002617524 W 20220103093443   000000000000177.00BAHT   BAL000000045081276.75 .
44002617524 T 20220103095431   000000000000101.00BAHT   BAL000000045081175.75 TO11870049832.
44002617524 W 20220103100110   000000000000176.25BAHT   BAL000000045080999.50 .
44002617524 W 20220103103002   000000000000125.50BAHT   BAL000000045080874.00 .
44002617524 W 20220103103137   000000000000120.25BAHT   BAL000000045080753.75 .
44002617524 W 20220103105346   000000000000194.25BAHT   BAL000000045080559.50 .
44002617524 W 20220103110316   000000000000200.50BAHT   BAL000000045080359.00 .
44002617524 T 20220103112337   000000000000163.25BAHT   BAL000000045080195.75 TO44088673004.
44002617524 T 20220103113312   000000000000117.25BAHT   BAL000000045080078.50 TO11870049832.
44002617524 T 20220103113430   000000000000169.25BAHT   BAL000000045079909.25 TO00010115943.
44002617524 W 20220103115957   000000000000191.50BAHT   BAL000000045079717.75 .
44002617524 D 20220103122313   000000000312811.75BAHT   BAL000000045392529.50 TYPE-DE.
44002617524 W 20220103123754   000000000000164.50BAHT   BAL000000045392365.00 .
44002617524 W 20220103124449   000000000000113.50BAHT   BAL000000045392251.50 .
44002617524 W 20220103130921   000000000000152.00BAHT   BAL000000045392099.50 .
44002617524 T 20220103133049   000000000000156.25BAHT   BAL000000045391943.25 TO00010115943.
44002617524 T 20220103134139   000000000000182.50BAHT   BAL000000045391760.75 TO11870049832.
44002617524 T 20220103135310   000000000000110.25BAHT   BAL000000045391650.50 TO10803011297.
44002617524 W 20220103141211   000000000000144.25BAHT   BAL000000045391506.25 .
44002617524 D 20220103144202   000000000196403.25BAHT   BAL000000045587909.50 TYPE-DE.
44002617524 D 20220103150759   000000000209946.00BAHT   BAL000000045797855.50 TYPE-DE.
44002617524 W 20220103153124   000000000000132.75BAHT   BAL000000045797722.75 .
44002617524 D 20220103160027   000000000780759.50BAHT   BAL000000046578482.25 TYPE-DE.
44002617524 T 20220103162625   000000000000183.50BAHT   BAL000000046578298.75 TO11870049832.
44002617524 T 20220103165032   000000000000199.00BAHT   BAL000000046578099.75 TO10803011297.
44002617524 W 20220103165341   000000000000167.75BAHT   BAL000000046577932.00 .
44002617524 T 20220103170752   000000000000183.25BAHT   BAL000000046577748.75 TO85614200688.
44002617524 W 20220103171132   000000000000159.25BAHT   BAL000000046577589.50 .
