01133011122 I 20220101000000   000000005662878.50BAHT   BAL000000005662878.50 INITIAL.
01133011122 T 20220104094146   000000000000113.50BAHT   BAL000000005666963.50 FROM00010115943.
01133011122 T 20220104095943   000000000000192.50BAHT   BAL000000005667156.00 FROM00010115943.
01133011122 T 20220104101504   000000000000139.00BAHT   BAL000000005667295.00 FROM00010115943.
01133011122 T 20220104101906   000000000000125.25BAHT   BAL000000005667420.25 FROM00010115943.
01133011122 T 20220104102414   000000000000106.00BAHT   BAL000000005667526.25 FROM00010115943.
01133011122 T 20220104104823   000000000000121.50BAHT   BAL000000005667647.75 FROM00010115943.
01133011122 T 20220104111210   000000000000180.00BAHT   BAL000000005667827.75 FROM00010115943.
01133011122 T 20220104121140   000000000000134.50BAHT   BAL000000005667962.25 FROM00010115943.
01133011122 T 20220104131407   000000000000153.75BAHT   BAL000000005668116.00 FROM00010115943.
01133011122 T 20220104133449   000000000000154.25BAHT   BAL000000005668270.25 FROM00010115943.
01133011122 T 20220104145456   000000000000106.75BAHT   BAL000000005668377.00 FROM00010115943.
01133011122 T 20220104185009   000000000000138.50BAHT   BAL000000005668515.50 FROM00010115943.
01133011122 T 20220104190101   000000000000103.50BAHT   BAL000000005668619.00 FROM00010115943.
01133011122 T 20220104193801   000000000000185.50BAHT   BAL000000005668804.50 FROM00010115943.
01133011122 T 20220104224841   000000000000101.75BAHT   BAL000000005668906.25 FROM00010115943.
01133011122 T 20220105001727   000000000000136.50BAHT   BAL000000005669042.75 FROM00010115943.
01133011122 T 20220105052602   000000000000153.50BAHT   BAL000000005669196.25 FROM00010115943.
01133011122 T 20220105063659   000000000000160.00BAHT   BAL000000005669356.25 FROM00010115943.
01133011122 T 20220105065656   000000000000188.00BAHT   BAL000000005669544.25 FROM00010115943.
01133011122 T 20220101014950   000000000000121.50BAHT   BAL000000005669665.75 FROM44088673004.
01133011122 T 20220101051650   000000000000122.50BAHT   BAL000000005669788.25 FROM44088673004.
01133011122 T 20220101075036   000000000000136.75BAHT   BAL000000005669925.00 FROM44088673004.
01133011122 T 20220101094930   000000000000183.00BAHT   BAL000000005670108.00 FROM44088673004.
01133011122 T 20220101181932   000000000000119.25BAHT   BAL000000005670227.25 FROM44088673004.
01133011122 T 20220102110840   000000000000195.50BAHT   BAL000000005670422.75 FROM44088673004.
01133011122 T 20220102125648   000000000000191.75BAHT   BAL000000005670614.50 FROM44088673004.
01133011122 T 20220102235120   000000000000110.75BAHT   BAL000000005670725.25 FROM44088673004.
01133011122 T 20220103011834   000000000000163.00BAHT   BAL000000005670888.25 FROM44088673004.
01133011122 T 20220103053020   000000000000105.25BAHT   BAL000000005670993.50 FROM44088673004.
01133011122 T 20220103065237   000000000000149.75BAHT   BAL000000005671143.25 FROM44088673004.
01133011122 T 20220101013818   000000000000181.50BAHT   BAL000000005671324.75 FROM44002617524.
01133011122 T 20220101080801   000000000000136.50BAHT   BAL000000005671461.25 FROM44002617524.
01133011122 T 20220101182821   000000000000128.50BAHT   BAL000000005671589.75 FROM44002617524.
01133011122 T 20220101225655   000000000000142.00BAHT   BAL000000005671731.75 FROM44002617524.
01133011122 T 20220101233733   000000000000131.75BAHT   BAL000000005671863.50 FROM44002617524.
01133011122 T 20220102020630   000000000000189.00BAHT   BAL000000005672052.50 FROM44002617524.
01133011122 T 20220102042220   000000000000131.00BAHT   BAL000000005672183.50 FROM44002617524.
01133011122 T 20220102070632   000000000000117.25BAHT   BAL000000005672300.75 FROM44002617524.
01133011122 T 20220102081605   000000000000139.25BAHT   BAL000000005672440.00 FROM44002617524.
01133011122 T 20220102100801   000000000000109.50BAHT   BAL000000005672549.50 FROM44002617524.
01133011122 T 20220102134636   000000000000117.00BAHT   BAL000000005672666.50 FROM44002617524.
01133011122 T 20220102225652   000000000000196.75BAHT   BAL000000005672863.25 FROM44002617524.
01133011122 T 20220103030412   000000000000198.75BAHT   BAL000000005673062.00 FROM44002617524.
01133011122 T 20220103050229   000000000000194.50BAHT   BAL000000005673256.50 FROM44002617524.
01133011122 T 20220103051833   000000000000102.00BAHT   BAL000000005673358.50 FROM44002617524.
01133011122 T 20220103062654   000000000000180.25BAHT   BAL000000005673538.75 FROM44002617524.
01133011122 T 20220103081511   000000000000171.50BAHT   BAL000000005673710.25 FROM44002617524.
01133011122 T 20220103223458   000000000000192.75BAHT   BAL000000005673903.00 FROM44002617524.
01133011122 T 20220103234533   000000000000197.75BAHT   BAL000000005674100.75 FROM44002617524.
01133011122 T 20220104011832   000000000000200.00BAHT   BAL000000005674300.75 FROM44002617524.
01133011122 T 20220104020024   000000000000136.25BAHT   BAL000000005674437.00 FROM44002617524.
01133011122 T 20220104055128   000000000000129.00BAHT   BAL000000005674566.00 FROM44002617524.
01133011122 T 20220104071623   000000000000172.50BAHT   BAL000000005674738.50 FROM44002617524.
01133011122 T 20220104161538   000000000000186.00BAHT   BAL000000005674924.50 FROM44002617524.
01133011122 T 20220104180258   000000000000107.25BAHT   BAL000000005675031.75 FROM44002617524.
01133011122 T 20220101010735   000000000000200.25BAHT   BAL000000005675232.00 FROM85614200688.
01133011122 T 20220101104934   000000000000109.00BAHT   BAL000000005675341.00 FROM85614200688.
01133011122 T 20220101173508   000000000000157.00BAHT   BAL000000005675498.00 FROM85614200688.
01133011122 T 20220101230154   000000000000198.75BAHT   BAL000000005675696.75 FROM85614200688.
01133011122 T 20220102040148   000000000000118.50BAHT   BAL000000005675815.25 FROM85614200688.
01133011122 T 20220102060415   000000000000188.50BAHT   BAL000000005676003.75 FROM85614200688.
01133011122 T 20220102075745   000000000000121.50BAHT   BAL000000005676125.25 FROM85614200688.
01133011122 T 20220102170052   000000000000128.75BAHT   BAL000000005676254.00 FROM85614200688.
01133011122 T 20220103003642   000000000000187.50BAHT   BAL000000005676441.50 FROM85614200688.
01133011122 T 20220103052451   000000000000165.50BAHT   BAL000000005676607.00 FROM85614200688.
01133011122 T 20220103075404   000000000000144.00BAHT   BAL000000005676751.00 FROM85614200688.
01133011122 T 20220103090911   000000000000124.25BAHT   BAL000000005676875.25 FROM85614200688.
01133011122 T 20220103181552   000000000000105.25BAHT   BAL000000005676980.50 FROM85614200688.
01133011122 T 20220103214308   000000000000147.00BAHT   BAL000000005677127.50 FROM85614200688.
01133011122 T 20220103225409   000000000000197.50BAHT   BAL000000005677325.00 FROM85614200688.
01133011122 T 20220103235632   000000000000129.75BAHT   BAL000000005677454.75 FROM85614200688.
01133011122 T 20220104021627   000000000000179.75BAHT   BAL000000005677634.50 FROM85614200688.
01133011122 T 20220104024205   000000000000178.50BAHT   BAL000000005677813.00 FROM85614200688.
01133011122 T 20220104042909   000000000000165.25BAHT   BAL000000005677978.25 FROM85614200688.
01133011122 T 20220104054146   000000000000201.00BAHT   BAL000000005678179.25 FROM85614200688.
01133011122 T 20220104060500   000000000000177.25BAHT   BAL000000005678356.50 FROM85614200688.
01133011122 T 20220101030800   000000000000123.00BAHT   BAL000000005678479.50 FROM11870049832.
01133011122 T 20220101132825   000000000000182.25BAHT   BAL000000005678661.75 FROM11870049832.
01133011122 T 20220101204152   000000000000152.50BAHT   BAL000000005678814.25 FROM11870049832.
01133011122 T 20220101223601   000000000000187.00BAHT   BAL000000005679001.25 FROM11870049832.
01133011122 T 20220102130719   000000000000136.00BAHT   BAL000000005679137.25 FROM11870049832.
01133011122 T 20220102145723   000000000000128.75BAHT   BAL000000005679266.00 FROM11870049832.
01133011122 T 20220102184642   000000000000138.50BAHT   BAL000000005679404.50 FROM11870049832.
01133011122 T 20220103043322   000000000000115.75BAHT   BAL000000005679520.25 FROM11870049832.
01133011122 T 20220103105247   000000000000115.75BAHT   BAL000000005679636.00 FROM11870049832.
01133011122 T 20220103105652   000000000000172.75BAHT   BAL000000005679808.75 FROM11870049832.
01133011122 T 20220103112611   000000000000175.00BAHT   BAL000000005679983.75 FROM11870049832.
01133011122 T 20220103133558   000000000000174.50BAHT   BAL000000005680158.25 FROM11870049832.
01133011122 T 20220103135944   000000000000175.25BAHT   BAL000000005680333.50 FROM11870049832.
01133011122 T 20220103172950   000000000000175.25BAHT   BAL000000005680508.75 FROM11870049832.
01133011122 W 20220101000504   000000000000151.50BAHT   BAL000000005680357.25 .
01133011122 T 20220101001131   000000000000114.75BAHT   BAL000000005680242.50 TO00010115943.
01133011122 W 20220101001908   000000000000117.50BAHT   BAL000000005680125.00 .
01133011122 T 20220101002113   000000000000149.25BAHT   BAL000000005679975.75 TO10803011297.
01133011122 W 20220101004723   000000000000100.50BAHT   BAL000000005679875.25 .
01133011122 T 20220101010142   000000000000112.50BAHT   BAL000000005679762.75 TO00010115943.
01133011122 T 20220101010557   000000000000152.50BAHT   BAL000000005679610.25 TO10803011297.
01133011122 D 20220101012545   000000000456696.25BAHT   BAL000000006136306.50 TYPE-DE.
01133011122 D 20220101013719   000000000052016.50BAHT   BAL000000006188323.00 TYPE-DE.
01133011122 D 20220101014504   000000000720678.50BAHT   BAL000000006909001.50 TYPE-DE.
01133011122 D 20220101015609   000000000715498.50BAHT   BAL000000007624500.00 TYPE-DE.
01133011122 T 20220101022206   000000000000112.00BAHT   BAL000000007624388.00 TO85614200688.
01133011122 D 20220101024729   000000000971160.75BAHT   BAL000000008595548.75 TYPE-DE.
01133011122 T 20220101030846   000000000000148.25BAHT   BAL000000008595400.50 TO44088673004.
01133011122 W 20220101030849   000000000000122.50BAHT   BAL000000008595278.00 .
01133011122 T 20220101031944   000000000000104.25BAHT   BAL000000008595173.75 TO11870049832.
01133011122 D 20220101032945   000000000804285.75BAHT   BAL000000009399459.50 TYPE-DE.
01133011122 T 20220101033329   000000000000179.00BAHT   BAL000000009399280.50 TO44088673004.
01133011122 D 20220101034833   000000000411343.25BAHT   BAL000000009810623.75 TYPE-DE.
01133011122 W 20220101041003   000000000000158.25BAHT   BAL000000009810465.50 .
01133011122 D 20220101042153   000000000457067.75BAHT   BAL000000010267533.25 TYPE-DE.
01133011122 D 20220101042653   000000000907995.00BAHT   BAL000000011175528.25 TYPE-DE.
01133011122 D 20220101042910   000000000785801.50BAHT   BAL000000011961329.75 TYPE-DE.
01133011122 W 20220101045145   000000000000145.75BAHT   BAL000000011961184.00 .
01133011122 W 20220101045558   000000000000113.00BAHT   BAL000000011961071.00 .
01133011122 W 20220101050936   000000000000124.00BAHT   BAL000000011960947.00 .
01133011122 W 20220101053654   000000000000100.75BAHT   BAL000000011960846.25 .
01133011122 W 20220101054535   000000000000175.00BAHT   BAL000000011960671.25 .
01133011122 D 20220101054658   000000000153695.75BAHT   BAL000000012114367.00 TYPE-DE.
01133011122 D 20220101055238   000000000377262.75BAHT   BAL000000012491629.75 TYPE-DE.
01133011122 T 20220101060301   000000000000107.75BAHT   BAL000000012491522.00 TO10803011297.
01133011122 D 20220101060605   000000000485202.50BAHT   BAL000000012976724.50 TYPE-DE.
01133011122 W 20220101061301   000000000000173.75BAHT   BAL000000012976550.75 .
01133011122 D 20220101064237   000000000291336.25BAHT   BAL000000013267887.00 TYPE-DE.
01133011122 D 20220101071215   000000000916023.00BAHT   BAL000000014183910.00 TYPE-DE.
01133011122 W 20220101072723   000000000000142.75BAHT   BAL000000014183767.25 .
01133011122 W 20220101073706   000000000000119.25BAHT   BAL000000014183648.00 .
01133011122 W 20220101075057   000000000000178.25BAHT   BAL000000014183469.75 .
01133011122 D 20220101081911   000000000570123.50BAHT   BAL000000014753593.25 TYPE-DE.
01133011122 W 20220101084503   000000000000139.75BAHT   BAL000000014753453.50 .
01133011122 D 20220101085807   000000000271294.50BAHT   BAL000000015024748.00 TYPE-DE.
01133011122 T 20220101091226   000000000000117.00BAHT   BAL000000015024631.00 TO10803011297.
01133011122 D 20220101091243   000000000260000.25BAHT   BAL000000015284631.25 TYPE-DE.
01133011122 W 20220101092234   000000000000137.75BAHT   BAL000000015284493.50 .
01133011122 W 20220101093812   000000000000136.25BAHT   BAL000000015284357.25 .
01133011122 T 20220101094438   000000000000172.00BAHT   BAL000000015284185.25 TO85614200688.
01133011122 W 20220101101132   000000000000147.00BAHT   BAL000000015284038.25 .
01133011122 D 20220101102306   000000000235200.25BAHT   BAL000000015519238.50 TYPE-DE.
01133011122 T 20220101103042   000000000000200.00BAHT   BAL000000015519038.50 TO11870049832.
01133011122 W 20220101103651   000000000000157.75BAHT   BAL000000015518880.75 .
01133011122 D 20220101105452   000000000640231.00BAHT   BAL000000016159111.75 TYPE-DE.
01133011122 D 20220101105547   000000000734224.00BAHT   BAL000000016893335.75 TYPE-DE.
01133011122 D 20220101110538   000000000856676.75BAHT   BAL000000017750012.50 TYPE-DE.
01133011122 D 20220101110549   000000000296265.50BAHT   BAL000000018046278.00 TYPE-DE.
01133011122 W 20220101111000   000000000000150.00BAHT   BAL000000018046128.00 .
01133011122 W 20220101113952   000000000000150.25BAHT   BAL000000018045977.75 .
01133011122 D 20220101114424   000000000086158.25BAHT   BAL000000018132136.00 TYPE-DE.
01133011122 T 20220101121047   000000000000110.50BAHT   BAL000000018132025.50 TO44002617524.
01133011122 D 20220101123457   000000000912143.50BAHT   BAL000000019044169.00 TYPE-DE.
01133011122 W 20220101130310   000000000000156.75BAHT   BAL000000019044012.25 .
01133011122 T 20220101132727   000000000000166.75BAHT   BAL000000019043845.50 TO10803011297.
01133011122 D 20220101135329   000000000965857.75BAHT   BAL000000020009703.25 TYPE-DE.
01133011122 T 20220101141806   000000000000154.25BAHT   BAL000000020009549.00 TO44002617524.
01133011122 T 20220101142011   000000000000136.50BAHT   BAL000000020009412.50 TO85614200688.
01133011122 W 20220101142316   000000000000132.00BAHT   BAL000000020009280.50 .
01133011122 D 20220101142656   000000000809391.25BAHT   BAL000000020818671.75 TYPE-DE.
01133011122 D 20220101144726   000000000330478.75BAHT   BAL000000021149150.50 TYPE-DE.
01133011122 W 20220101145238   000000000000166.00BAHT   BAL000000021148984.50 .
01133011122 D 20220101150527   000000000245021.25BAHT   BAL000000021394005.75 TYPE-DE.
01133011122 W 20220101150842   000000000000153.75BAHT   BAL000000021393852.00 .
01133011122 T 20220101153039   000000000000113.50BAHT   BAL000000021393738.50 TO10803011297.
01133011122 D 20220101155351   000000000030858.00BAHT   BAL000000021424596.50 TYPE-DE.
01133011122 W 20220101162244   000000000000178.25BAHT   BAL000000021424418.25 .
01133011122 W 20220101165013   000000000000135.00BAHT   BAL000000021424283.25 .
01133011122 W 20220101165046   000000000000116.75BAHT   BAL000000021424166.50 .
01133011122 T 20220101170105   000000000000189.50BAHT   BAL000000021423977.00 TO11870049832.
01133011122 T 20220101172315   000000000000135.00BAHT   BAL000000021423842.00 TO44088673004.
01133011122 D 20220101174847   000000000338852.50BAHT   BAL000000021762694.50 TYPE-DE.
01133011122 W 20220101181656   000000000000159.00BAHT   BAL000000021762535.50 .
01133011122 D 20220101184623   000000000403179.50BAHT   BAL000000022165715.00 TYPE-DE.
01133011122 D 20220101191353   000000000810174.00BAHT   BAL000000022975889.00 TYPE-DE.
01133011122 D 20220101193331   000000000156630.50BAHT   BAL000000023132519.50 TYPE-DE.
01133011122 T 20220101194900   000000000000105.75BAHT   BAL000000023132413.75 TO10803011297.
01133011122 D 20220101201209   000000000975913.00BAHT   BAL000000024108326.75 TYPE-DE.
01133011122 D 20220101202325   000000000569403.25BAHT   BAL000000024677730.00 TYPE-DE.
01133011122 D 20220101202339   000000000834499.75BAHT   BAL000000025512229.75 TYPE-DE.
01133011122 D 20220101205221   000000000965595.75BAHT   BAL000000026477825.50 TYPE-DE.
01133011122 W 20220101205938   000000000000164.75BAHT   BAL000000026477660.75 .
01133011122 W 20220101210904   000000000000105.75BAHT   BAL000000026477555.00 .
01133011122 D 20220101211237   000000000006388.25BAHT   BAL000000026483943.25 TYPE-DE.
01133011122 T 20220101211529   000000000000130.00BAHT   BAL000000026483813.25 TO44002617524.
01133011122 W 20220101212610   000000000000132.75BAHT   BAL000000026483680.50 .
01133011122 T 20220101213211   000000000000109.00BAHT   BAL000000026483571.50 TO44088673004.
01133011122 W 20220101215213   000000000000132.25BAHT   BAL000000026483439.25 .
01133011122 D 20220101221317   000000000437002.50BAHT   BAL000000026920441.75 TYPE-DE.
01133011122 W 20220101221939   000000000000102.50BAHT   BAL000000026920339.25 .
01133011122 T 20220101223322   000000000000188.50BAHT   BAL000000026920150.75 TO11870049832.
01133011122 D 20220101224059   000000000000692.75BAHT   BAL000000026920843.50 TYPE-DE.
01133011122 W 20220101225711   000000000000177.75BAHT   BAL000000026920665.75 .
01133011122 D 20220101231159   000000000320086.75BAHT   BAL000000027240752.50 TYPE-DE.
01133011122 D 20220101232228   000000000623269.75BAHT   BAL000000027864022.25 TYPE-DE.
01133011122 D 20220101234733   000000000131364.25BAHT   BAL000000027995386.50 TYPE-DE.
01133011122 T 20220101235419   000000000000161.25BAHT   BAL000000027995225.25 TO10803011297.
01133011122 T 20220102000151   000000000000201.75BAHT   BAL000000027995023.50 TO10803011297.
01133011122 W 20220102000902   000000000000162.25BAHT   BAL000000027994861.25 .
01133011122 D 20220102000948   000000000337089.75BAHT   BAL000000028331951.00 TYPE-DE.
01133011122 T 20220102002505   000000000000184.50BAHT   BAL000000028331766.50 TO85614200688.
01133011122 T 20220102003811   000000000000192.75BAHT   BAL000000028331573.75 TO44002617524.
01133011122 D 20220102010718   000000000511491.50BAHT   BAL000000028843065.25 TYPE-DE.
01133011122 T 20220102010851   000000000000129.25BAHT   BAL000000028842936.00 TO10803011297.
01133011122 T 20220102011917   000000000000192.50BAHT   BAL000000028842743.50 TO85614200688.
01133011122 D 20220102013012   000000000366491.75BAHT   BAL000000029209235.25 TYPE-DE.
01133011122 D 20220102015900   000000000506024.00BAHT   BAL000000029715259.25 TYPE-DE.
01133011122 D 20220102021357   000000000203335.25BAHT   BAL000000029918594.50 TYPE-DE.
01133011122 D 20220102023855   000000000298190.50BAHT   BAL000000030216785.00 TYPE-DE.
01133011122 D 20220102024224   000000000936359.50BAHT   BAL000000031153144.50 TYPE-DE.
01133011122 W 20220102024340   000000000000101.50BAHT   BAL000000031153043.00 .
01133011122 W 20220102025446   000000000000152.50BAHT   BAL000000031152890.50 .
01133011122 T 20220102030735   000000000000143.00BAHT   BAL000000031152747.50 TO11870049832.
01133011122 D 20220102031049   000000000098603.00BAHT   BAL000000031251350.50 TYPE-DE.
01133011122 W 20220102033158   000000000000192.25BAHT   BAL000000031251158.25 .
01133011122 D 20220102034246   000000000966622.00BAHT   BAL000000032217780.25 TYPE-DE.
01133011122 W 20220102040458   000000000000145.50BAHT   BAL000000032217634.75 .
01133011122 D 20220102041501   000000000740557.25BAHT   BAL000000032958192.00 TYPE-DE.
01133011122 T 20220102043535   000000000000179.75BAHT   BAL000000032958012.25 TO85614200688.
01133011122 T 20220102043619   000000000000177.00BAHT   BAL000000032957835.25 TO10803011297.
01133011122 D 20220102045820   000000000571656.50BAHT   BAL000000033529491.75 TYPE-DE.
01133011122 D 20220102051436   000000000987423.75BAHT   BAL000000034516915.50 TYPE-DE.
01133011122 W 20220102053714   000000000000174.00BAHT   BAL000000034516741.50 .
01133011122 W 20220102060543   000000000000137.25BAHT   BAL000000034516604.25 .
01133011122 D 20220102062228   000000000543484.50BAHT   BAL000000035060088.75 TYPE-DE.
01133011122 D 20220102063200   000000000853103.00BAHT   BAL000000035913191.75 TYPE-DE.
01133011122 T 20220102070137   000000000000165.00BAHT   BAL000000035913026.75 TO00010115943.
01133011122 W 20220102071200   000000000000199.00BAHT   BAL000000035912827.75 .
01133011122 D 20220102073835   000000000952911.25BAHT   BAL000000036865739.00 TYPE-DE.
01133011122 D 20220102075856   000000000598449.75BAHT   BAL000000037464188.75 TYPE-DE.
01133011122 D 20220102080550   000000000313926.50BAHT   BAL000000037778115.25 TYPE-DE.
01133011122 D 20220102081116   000000000916498.25BAHT   BAL000000038694613.50 TYPE-DE.
01133011122 D 20220102083833   000000000458132.50BAHT   BAL000000039152746.00 TYPE-DE.
01133011122 T 20220102085144   000000000000170.75BAHT   BAL000000039152575.25 TO10803011297.
01133011122 T 20220102091620   000000000000163.25BAHT   BAL000000039152412.00 TO44088673004.
01133011122 T 20220102094226   000000000000132.25BAHT   BAL000000039152279.75 TO44088673004.
01133011122 T 20220102100957   000000000000158.50BAHT   BAL000000039152121.25 TO00010115943.
01133011122 W 20220102101902   000000000000200.00BAHT   BAL000000039151921.25 .
01133011122 W 20220102102237   000000000000176.75BAHT   BAL000000039151744.50 .
01133011122 D 20220102103113   000000000686490.50BAHT   BAL000000039838235.00 TYPE-DE.
01133011122 T 20220102103916   000000000000159.75BAHT   BAL000000039838075.25 TO44002617524.
01133011122 T 20220102105727   000000000000160.25BAHT   BAL000000039837915.00 TO11870049832.
01133011122 D 20220102111302   000000000645074.25BAHT   BAL000000040482989.25 TYPE-DE.
01133011122 D 20220102113327   000000000045672.50BAHT   BAL000000040528661.75 TYPE-DE.
01133011122 T 20220102113633   000000000000199.00BAHT   BAL000000040528462.75 TO85614200688.
01133011122 W 20220102115246   000000000000106.25BAHT   BAL000000040528356.50 .
01133011122 W 20220102121727   000000000000200.00BAHT   BAL000000040528156.50 .
01133011122 D 20220102121816   000000000456952.00BAHT   BAL000000040985108.50 TYPE-DE.
01133011122 W 20220102123325   000000000000139.00BAHT   BAL000000040984969.50 .
01133011122 D 20220102130146   000000000476574.50BAHT   BAL000000041461544.00 TYPE-DE.
01133011122 D 20220102130557   000000000695806.75BAHT   BAL000000042157350.75 TYPE-DE.
01133011122 T 20220102131005   000000000000183.25BAHT   BAL000000042157167.50 TO11870049832.
01133011122 W 20220102131532   000000000000144.00BAHT   BAL000000042157023.50 .
01133011122 T 20220102133034   000000000000165.50BAHT   BAL000000042156858.00 TO00010115943.
01133011122 D 20220102135525   000000000313413.25BAHT   BAL000000042470271.25 TYPE-DE.
01133011122 W 20220102142219   000000000000122.75BAHT   BAL000000042470148.50 .
01133011122 W 20220102143917   000000000000121.50BAHT   BAL000000042470027.00 .
01133011122 W 20220102145951   000000000000151.00BAHT   BAL000000042469876.00 .
01133011122 T 20220102150514   000000000000148.50BAHT   BAL000000042469727.50 TO85614200688.
01133011122 W 20220102152104   000000000000100.50BAHT   BAL000000042469627.00 .
01133011122 D 20220102154209   000000000626259.00BAHT   BAL000000043095886.00 TYPE-DE.
01133011122 D 20220102154834   000000000315186.25BAHT   BAL000000043411072.25 TYPE-DE.
01133011122 W 20220102161101   000000000000117.00BAHT   BAL000000043410955.25 .
01133011122 D 20220102163832   000000000465964.50BAHT   BAL000000043876919.75 TYPE-DE.
01133011122 D 20220102165942   000000000340499.25BAHT   BAL000000044217419.00 TYPE-DE.
01133011122 T 20220102172140   000000000000121.00BAHT   BAL000000044217298.00 TO85614200688.
01133011122 D 20220102173004   000000000245099.00BAHT   BAL000000044462397.00 TYPE-DE.
01133011122 T 20220102174808   000000000000138.25BAHT   BAL000000044462258.75 TO10803011297.
01133011122 D 20220102180239   000000000272331.75BAHT   BAL000000044734590.50 TYPE-DE.
01133011122 D 20220102183221   000000000720530.50BAHT   BAL000000045455121.00 TYPE-DE.
01133011122 T 20220102184032   000000000000101.25BAHT   BAL000000045455019.75 TO10803011297.
01133011122 D 20220102184517   000000000904124.00BAHT   BAL000000046359143.75 TYPE-DE.
01133011122 D 20220102185434   000000000942823.50BAHT   BAL000000047301967.25 TYPE-DE.
01133011122 D 20220102185611   000000000348252.50BAHT   BAL000000047650219.75 TYPE-DE.
01133011122 D 20220102192033   000000000386680.25BAHT   BAL000000048036900.00 TYPE-DE.
01133011122 T 20220102192941   000000000000177.50BAHT   BAL000000048036722.50 TO44002617524.
01133011122 D 20220102195203   000000000926698.25BAHT   BAL000000048963420.75 TYPE-DE.
01133011122 D 20220102195918   000000000649234.75BAHT   BAL000000049612655.50 TYPE-DE.
01133011122 T 20220102200743   000000000000129.00BAHT   BAL000000049612526.50 TO00010115943.
01133011122 T 20220102202324   000000000000128.00BAHT   BAL000000049612398.50 TO00010115943.
01133011122 D 20220102204726   000000000312611.00BAHT   BAL000000049925009.50 TYPE-DE.
01133011122 T 20220102205545   000000000000169.50BAHT   BAL000000049924840.00 TO10803011297.
01133011122 D 20220102212109   000000000873346.25BAHT   BAL000000050798186.25 TYPE-DE.
01133011122 D 20220102213003   000000000611595.75BAHT   BAL000000051409782.00 TYPE-DE.
01133011122 T 20220102213841   000000000000154.25BAHT   BAL000000051409627.75 TO11870049832.
01133011122 T 20220102214301   000000000000198.25BAHT   BAL000000051409429.50 TO44088673004.
01133011122 D 20220102215426   000000000874499.25BAHT   BAL000000052283928.75 TYPE-DE.
01133011122 T 20220102221057   000000000000169.00BAHT   BAL000000052283759.75 TO10803011297.
01133011122 T 20220102222205   000000000000197.50BAHT   BAL000000052283562.25 TO10803011297.
01133011122 T 20220102223428   000000000000169.25BAHT   BAL000000052283393.00 TO85614200688.
01133011122 T 20220102224055   000000000000151.25BAHT   BAL000000052283241.75 TO44088673004.
01133011122 T 20220102224422   000000000000152.00BAHT   BAL000000052283089.75 TO10803011297.
01133011122 D 20220102230652   000000000721888.50BAHT   BAL000000053004978.25 TYPE-DE.
01133011122 D 20220102232816   000000000999390.50BAHT   BAL000000054004368.75 TYPE-DE.
01133011122 D 20220102235755   000000000250334.25BAHT   BAL000000054254703.00 TYPE-DE.
01133011122 T 20220103001348   000000000000143.00BAHT   BAL000000054254560.00 TO11870049832.
