00010115943 I 20220101000000   000000008044980.50BAHT   BAL000000008044980.50 INITIAL.
00010115943 T 20220101075145   000000000000179.50BAHT   BAL000000013806238.50 TO01133011122.
00010115943 W 20220101075359   000000000000124.00BAHT   BAL000000013806114.50 .
00010115943 T 20220101080319   000000000000180.75BAHT   BAL000000013805933.75 TO44088673004.
00010115943 T 20220101080955   000000000000106.50BAHT   BAL000000013805827.25 TO44088673004.
00010115943 T 20220101081119   000000000000130.75BAHT   BAL000000013805696.50 TO44002617524.
00010115943 W 20220101081733   000000000000158.50BAHT   BAL000000013805538.00 .
00010115943 D 20220101083702   000000000780709.50BAHT   BAL000000014586247.50 TYPE-DE.
00010115943 T 20220101085020   000000000000159.50BAHT   BAL000000014586088.00 TO85614200688.
00010115943 T 20220101091917   000000000000115.25BAHT   BAL000000014585972.75 TO44088673004.
00010115943 D 20220101093807   000000000309585.50BAHT   BAL000000014895558.25 TYPE-DE.
00010115943 D 20220101100712   000000000003059.50BAHT   BAL000000014898617.75 TYPE-DE.
00010115943 T 20220101101652   000000000000101.25BAHT   BAL000000014898516.50 TO11870049832.
00010115943 D 20220101102438   000000000552678.00BAHT   BAL000000015451194.50 TYPE-DE.
00010115943 D 20220101103235   000000000778399.00BAHT   BAL000000016229593.50 TYPE-DE.
00010115943 T 20220101104842   000000000000149.00BAHT   BAL000000016229444.50 TO01133011122.
00010115943 W 20220101105912   000000000000145.50BAHT   BAL000000016229299.00 .
00010115943 D 20220101110857   000000000180006.50BAHT   BAL000000016409305.50 TYPE-DE.
00010115943 W 20220101113321   000000000000131.25BAHT   BAL000000016409174.25 .
00010115943 W 20220101114422   000000000000117.25BAHT   BAL000000016409057.00 .
00010115943 D 20220101120141   000000000770397.25BAHT   BAL000000017179454.25 TYPE-DE.
00010115943 W 20220101122300   000000000000114.00BAHT   BAL000000017179340.25 .
00010115943 T 20220101122641   000000000000141.50BAHT   BAL000000017179198.75 TO85614200688.
00010115943 D 20220101123209   000000000845774.50BAHT   BAL000000018024973.25 TYPE-DE.
00010115943 D 20220101125346   000000000222872.00BAHT   BAL000000018247845.25 TYPE-DE.
00010115943 D 20220101132005   000000000659935.00BAHT   BAL000000018907780.25 TYPE-DE.
00010115943 W 20220101133207   000000000000148.00BAHT   BAL000000018907632.25 .
00010115943 W 20220101134752   000000000000181.50BAHT   BAL000000018907450.75 .
00010115943 T 20220101135117   000000000000136.00BAHT   BAL000000018907314.75 TO85614200688.
00010115943 W 20220101141235   000000000000138.00BAHT   BAL000000018907176.75 .
00010115943 W 20220101143537   000000000000120.25BAHT   BAL000000018907056.50 .
00010115943 W 20220101143609   000000000000121.25BAHT   BAL000000018906935.25 .
00010115943 W 20220101150006   000000000000132.75BAHT   BAL000000018906802.50 .
00010115943 W 20220101152925   000000000000170.50BAHT   BAL000000018906632.00 .
00010115943 D 20220101155155   000000000123698.75BAHT   BAL000000019030330.75 TYPE-DE.
00010115943 T 20220101155928   000000000000144.00BAHT   BAL000000019030186.75 TO11870049832.
00010115943 T 20220101162553   000000000000186.50BAHT   BAL000000019030000.25 TO44088673004.
00010115943 W 20220101163903   000000000000126.00BAHT   BAL000000019029874.25 .
00010115943 W 20220101170001   000000000000108.75BAHT   BAL000000019029765.50 .
00010115943 W 20220101170546   000000000000198.75BAHT   BAL000000019029566.75 .
00010115943 W 20220101173303   000000000000130.25BAHT   BAL000000019029436.50 .
00010115943 D 20220101174930   000000000769466.75BAHT   BAL000000019798903.25 TYPE-DE.
00010115943 W 20220101175409   000000000000199.25BAHT   BAL000000019798704.00 .
00010115943 W 20220101175841   000000000000199.00BAHT   BAL000000019798505.00 .
00010115943 D 20220101181033   000000000064337.50BAHT   BAL000000019862842.50 TYPE-DE.
00010115943 W 20220101181043   000000000000109.00BAHT   BAL000000019862733.50 .
00010115943 D 20220101181747   000000000546856.75BAHT   BAL000000020409590.25 TYPE-DE.
00010115943 W 20220101182723   000000000000120.50BAHT   BAL000000020409469.75 .
00010115943 D 20220101185147   000000000193472.25BAHT   BAL000000020602942.00 TYPE-DE.
00010115943 W 20220101191313   000000000000134.75BAHT   BAL000000020602807.25 .
00010115943 D 20220101191808   000000000489461.25BAHT   BAL000000021092268.50 TYPE-DE.
00010115943 D 20220101194449   000000000995334.00BAHT   BAL000000022087602.50 TYPE-DE.
00010115943 W 20220101200409   000000000000122.00BAHT   BAL000000022087480.50 .
00010115943 D 20220101203013   000000000204789.25BAHT   BAL000000022292269.75 TYPE-DE.
00010115943 T 20220101204103   000000000000137.00BAHT   BAL000000022292132.75 TO44002617524.
00010115943 D 20220101205531   000000000644903.00BAHT   BAL000000022937035.75 TYPE-DE.
00010115943 D 20220101205904   000000000548355.75BAHT   BAL000000023485391.50 TYPE-DE.
00010115943 D 20220101211600   000000000975638.25BAHT   BAL000000024461029.75 TYPE-DE.
00010115943 W 20220101212018   000000000000173.00BAHT   BAL000000024460856.75 .
00010115943 T 20220101213019   000000000000174.00BAHT   BAL000000024460682.75 TO11870049832.
00010115943 D 20220101215957   000000000015460.50BAHT   BAL000000024476143.25 TYPE-DE.
00010115943 D 20220101220049   000000000265183.75BAHT   BAL000000024741327.00 TYPE-DE.
00010115943 D 20220101220310   000000000112963.50BAHT   BAL000000024854290.50 TYPE-DE.
00010115943 W 20220101221530   000000000000182.25BAHT   BAL000000024854108.25 .
00010115943 D 20220101221759   000000000385824.50BAHT   BAL000000025239932.75 TYPE-DE.
00010115943 D 20220101222955   000000000985642.75BAHT   BAL000000026225575.50 TYPE-DE.
00010115943 T 20220101225439   000000000000180.50BAHT   BAL000000026225395.00 TO44002617524.
00010115943 T 20220101232256   000000000000126.75BAHT   BAL000000026225268.25 TO85614200688.
00010115943 T 20220101232703   000000000000155.00BAHT   BAL000000026225113.25 TO85614200688.
00010115943 T 20220101233649   000000000000106.25BAHT   BAL000000026225007.00 TO01133011122.
00010115943 W 20220101234131   000000000000116.25BAHT   BAL000000026224890.75 .
00010115943 D 20220102000225   000000000697303.75BAHT   BAL000000026922194.50 TYPE-DE.
00010115943 D 20220102001059   000000000502904.00BAHT   BAL000000027425098.50 TYPE-DE.
00010115943 W 20220102003833   000000000000148.50BAHT   BAL000000027424950.00 .
00010115943 D 20220102004127   000000000379443.75BAHT   BAL000000027804393.75 TYPE-DE.
00010115943 T 20220102010334   000000000000124.75BAHT   BAL000000027804269.00 TO44002617524.
00010115943 D 20220102012911   000000000561064.00BAHT   BAL000000028365333.00 TYPE-DE.
00010115943 T 20220102015600   000000000000120.50BAHT   BAL000000028365212.50 TO85614200688.
00010115943 T 20220102022143   000000000000135.50BAHT   BAL000000028365077.00 TO44088673004.
00010115943 D 20220102022805   000000000254850.75BAHT   BAL000000028619927.75 TYPE-DE.
00010115943 T 20220102023931   000000000000119.00BAHT   BAL000000028619808.75 TO01133011122.
00010115943 T 20220102025038   000000000000112.50BAHT   BAL000000028619696.25 TO10803011297.
00010115943 T 20220102031829   000000000000152.25BAHT   BAL000000028619544.00 TO10803011297.
00010115943 W 20220102032928   000000000000135.00BAHT   BAL000000028619409.00 .
00010115943 D 20220102034018   000000000248454.75BAHT   BAL000000028867863.75 TYPE-DE.
00010115943 W 20220102034023   000000000000113.25BAHT   BAL000000028867750.50 .
00010115943 W 20220102040253   000000000000189.00BAHT   BAL000000028867561.50 .
00010115943 W 20220102041055   000000000000151.75BAHT   BAL000000028867409.75 .
00010115943 D 20220102042044   000000000107371.50BAHT   BAL000000028974781.25 TYPE-DE.
00010115943 T 20220102042202   000000000000119.25BAHT   BAL000000028974662.00 TO11870049832.
00010115943 D 20220102044616   000000000210938.25BAHT   BAL000000029185600.25 TYPE-DE.
00010115943 W 20220102045836   000000000000180.25BAHT   BAL000000029185420.00 .
00010115943 W 20220102045925   000000000000158.25BAHT   BAL000000029185261.75 .
00010115943 D 20220102051730   000000000385096.50BAHT   BAL000000029570358.25 TYPE-DE.
00010115943 D 20220102053235   000000000531910.00BAHT   BAL000000030102268.25 TYPE-DE.
00010115943 D 20220102055945   000000000941518.75BAHT   BAL000000031043787.00 TYPE-DE.
00010115943 W 20220102061107   000000000000174.00BAHT   BAL000000031043613.00 .
00010115943 W 20220102063800   000000000000171.50BAHT   BAL000000031043441.50 .
00010115943 W 20220102063931   000000000000189.50BAHT   BAL000000031043252.00 .
00010115943 D 20220102065805   000000000340587.50BAHT   BAL000000031383839.50 TYPE-DE.
00010115943 T 20220102071223   000000000000147.25BAHT   BAL000000031383692.25 TO11870049832.
00010115943 D 20220102071631   000000000149012.75BAHT   BAL000000031532705.00 TYPE-DE.
00010115943 W 20220102074054   000000000000128.75BAHT   BAL000000031532576.25 .
00010115943 W 20220102074711   000000000000185.25BAHT   BAL000000031532391.00 .
00010115943 T 20220102080116   000000000000190.00BAHT   BAL000000031532201.00 TO44002617524.
00010115943 W 20220102082329   000000000000144.75BAHT   BAL000000031532056.25 .
00010115943 D 20220102085213   000000000804615.75BAHT   BAL000000032336672.00 TYPE-DE.
00010115943 D 20220102090109   000000000646783.75BAHT   BAL000000032983455.75 TYPE-DE.
00010115943 D 20220102090619   000000000327107.00BAHT   BAL000000033310562.75 TYPE-DE.
00010115943 T 20220102093309   000000000000186.25BAHT   BAL000000033310376.50 TO44088673004.
00010115943 D 20220102100219   000000000868608.75BAHT   BAL000000034178985.25 TYPE-DE.
00010115943 D 20220102101324   000000000250033.75BAHT   BAL000000034429019.00 TYPE-DE.
00010115943 D 20220102101615   000000000958267.50BAHT   BAL000000035387286.50 TYPE-DE.
00010115943 T 20220102103423   000000000000185.50BAHT   BAL000000035387101.00 TO11870049832.
00010115943 T 20220102110401   000000000000188.25BAHT   BAL000000035386912.75 TO11870049832.
00010115943 D 20220102111141   000000000929526.50BAHT   BAL000000036316439.25 TYPE-DE.
00010115943 D 20220102113233   000000000000789.50BAHT   BAL000000036317228.75 TYPE-DE.
00010115943 T 20220102115545   000000000000158.25BAHT   BAL000000036317070.50 TO01133011122.
00010115943 D 20220102120723   000000000373501.75BAHT   BAL000000036690572.25 TYPE-DE.
00010115943 T 20220102121103   000000000000133.50BAHT   BAL000000036690438.75 TO44088673004.
00010115943 T 20220102123347   000000000000197.00BAHT   BAL000000036690241.75 TO44088673004.
00010115943 D 20220102124825   000000000314733.50BAHT   BAL000000037004975.25 TYPE-DE.
00010115943 T 20220102130420   000000000000195.25BAHT   BAL000000037004780.00 TO85614200688.
00010115943 T 20220102131033   000000000000199.25BAHT   BAL000000037004580.75 TO10803011297.
00010115943 W 20220102133246   000000000000130.75BAHT   BAL000000037004450.00 .
00010115943 W 20220102134318   000000000000147.00BAHT   BAL000000037004303.00 .
00010115943 D 20220102140242   000000000544434.25BAHT   BAL000000037548737.25 TYPE-DE.
00010115943 W 20220102141527   000000000000121.75BAHT   BAL000000037548615.50 .
00010115943 D 20220102141623   000000000797538.75BAHT   BAL000000038346154.25 TYPE-DE.
00010115943 W 20220102141659   000000000000151.75BAHT   BAL000000038346002.50 .
00010115943 D 20220102142019   000000000564881.25BAHT   BAL000000038910883.75 TYPE-DE.
00010115943 W 20220102143521   000000000000127.50BAHT   BAL000000038910756.25 .
00010115943 T 20220102143536   000000000000117.50BAHT   BAL000000038910638.75 TO44088673004.
00010115943 D 20220102150119   000000000188906.50BAHT   BAL000000039099545.25 TYPE-DE.
00010115943 T 20220102152250   000000000000188.75BAHT   BAL000000039099356.50 TO11870049832.
00010115943 T 20220102153513   000000000000146.00BAHT   BAL000000039099210.50 TO44002617524.
00010115943 D 20220102160336   000000000215383.25BAHT   BAL000000039314593.75 TYPE-DE.
00010115943 T 20220102160424   000000000000162.25BAHT   BAL000000039314431.50 TO44002617524.
00010115943 T 20220102161325   000000000000140.50BAHT   BAL000000039314291.00 TO44088673004.
00010115943 W 20220102164103   000000000000172.75BAHT   BAL000000039314118.25 .
00010115943 W 20220102170434   000000000000164.75BAHT   BAL000000039313953.50 .
00010115943 D 20220102171541   000000000134301.25BAHT   BAL000000039448254.75 TYPE-DE.
00010115943 W 20220102172631   000000000000126.25BAHT   BAL000000039448128.50 .
00010115943 W 20220102173105   000000000000190.75BAHT   BAL000000039447937.75 .
00010115943 D 20220102173412   000000000582994.00BAHT   BAL000000040030931.75 TYPE-DE.
00010115943 T 20220102173437   000000000000164.50BAHT   BAL000000040030767.25 TO44088673004.
00010115943 T 20220102173512   000000000000176.00BAHT   BAL000000040030591.25 TO44002617524.
00010115943 D 20220102175953   000000000121893.25BAHT   BAL000000040152484.50 TYPE-DE.
00010115943 T 20220102181837   000000000000156.75BAHT   BAL000000040152327.75 TO44088673004.
00010115943 D 20220102184055   000000000283418.50BAHT   BAL000000040435746.25 TYPE-DE.
00010115943 W 20220102184259   000000000000194.50BAHT   BAL000000040435551.75 .
00010115943 T 20220102184613   000000000000172.75BAHT   BAL000000040435379.00 TO44088673004.
00010115943 W 20220102190253   000000000000116.50BAHT   BAL000000040435262.50 .
00010115943 D 20220102191956   000000000349763.50BAHT   BAL000000040785026.00 TYPE-DE.
00010115943 W 20220102193347   000000000000200.00BAHT   BAL000000040784826.00 .
00010115943 D 20220102200221   000000000266575.00BAHT   BAL000000041051401.00 TYPE-DE.
00010115943 D 20220102203053   000000000746166.50BAHT   BAL000000041797567.50 TYPE-DE.
00010115943 W 20220102204757   000000000000155.00BAHT   BAL000000041797412.50 .
00010115943 T 20220102205814   000000000000154.75BAHT   BAL000000041797257.75 TO44002617524.
00010115943 D 20220102212403   000000000527277.25BAHT   BAL000000042324535.00 TYPE-DE.
00010115943 D 20220102214712   000000000843962.25BAHT   BAL000000043168497.25 TYPE-DE.
00010115943 D 20220102221220   000000000006571.00BAHT   BAL000000043175068.25 TYPE-DE.
00010115943 D 20220102223810   000000000015141.00BAHT   BAL000000043190209.25 TYPE-DE.
00010115943 T 20220102230026   000000000000180.00BAHT   BAL000000043190029.25 TO44002617524.
00010115943 D 20220102230541   000000000505706.25BAHT   BAL000000043695735.50 TYPE-DE.
00010115943 W 20220102232634   000000000000112.75BAHT   BAL000000043695622.75 .
00010115943 D 20220102234822   000000000297755.50BAHT   BAL000000043993378.25 TYPE-DE.
00010115943 T 20220103000658   000000000000124.50BAHT   BAL000000043993253.75 TO10803011297.
00010115943 D 20220103002840   000000000600181.25BAHT   BAL000000044593435.00 TYPE-DE.
00010115943 T 20220103005157   000000000000165.75BAHT   BAL000000044593269.25 TO10803011297.
00010115943 T 20220103005941   000000000000134.25BAHT   BAL000000044593135.00 TO85614200688.
00010115943 T 20220103010627   000000000000156.50BAHT   BAL000000044592978.50 TO44002617524.
00010115943 D 20220103013347   000000000114623.25BAHT   BAL000000044707601.75 TYPE-DE.
00010115943 T 20220103015859   000000000000132.25BAHT   BAL000000044707469.50 TO44002617524.
00010115943 T 20220103020516   000000000000198.25BAHT   BAL000000044707271.25 TO01133011122.
00010115943 T 20220103022903   000000000000177.50BAHT   BAL000000044707093.75 TO44002617524.
00010115943 D 20220103024927   000000000554133.75BAHT   BAL000000045261227.50 TYPE-DE.
00010115943 T 20220103030340   000000000000106.25BAHT   BAL000000045261121.25 TO10803011297.
00010115943 D 20220103032937   000000000596466.50BAHT   BAL000000045857587.75 TYPE-DE.
00010115943 T 20220103034351   000000000000141.00BAHT   BAL000000045857446.75 TO01133011122.
00010115943 W 20220103035442   000000000000200.25BAHT   BAL000000045857246.50 .
00010115943 D 20220103035615   000000000789169.25BAHT   BAL000000046646415.75 TYPE-DE.
00010115943 T 20220103041038   000000000000130.50BAHT   BAL000000046646285.25 TO11870049832.
00010115943 T 20220103043222   000000000000169.00BAHT   BAL000000046646116.25 TO44088673004.
00010115943 D 20220103045905   000000000388718.50BAHT   BAL000000047034834.75 TYPE-DE.
00010115943 W 20220103051909   000000000000181.25BAHT   BAL000000047034653.50 .
00010115943 D 20220103052853   000000000962590.75BAHT   BAL000000047997244.25 TYPE-DE.
00010115943 W 20220103053156   000000000000144.50BAHT   BAL000000047997099.75 .
00010115943 W 20220103054439   000000000000107.00BAHT   BAL000000047996992.75 .
00010115943 D 20220103060505   000000000184936.00BAHT   BAL000000048181928.75 TYPE-DE.
00010115943 T 20220103061745   000000000000185.75BAHT   BAL000000048181743.00 TO44002617524.
00010115943 D 20220103064135   000000000889940.75BAHT   BAL000000049071683.75 TYPE-DE.
00010115943 W 20220103065238   000000000000145.50BAHT   BAL000000049071538.25 .
00010115943 D 20220103065801   000000000108828.25BAHT   BAL000000049180366.50 TYPE-DE.
00010115943 T 20220103070006   000000000000118.25BAHT   BAL000000049180248.25 TO85614200688.
00010115943 W 20220103071002   000000000000109.50BAHT   BAL000000049180138.75 .
00010115943 W 20220103071832   000000000000127.25BAHT   BAL000000049180011.50 .
00010115943 W 20220103073140   000000000000121.25BAHT   BAL000000049179890.25 .
00010115943 W 20220103074748   000000000000200.75BAHT   BAL000000049179689.50 .
00010115943 D 20220103081455   000000000011508.75BAHT   BAL000000049191198.25 TYPE-DE.
00010115943 W 20220103082349   000000000000135.25BAHT   BAL000000049191063.00 .
00010115943 D 20220103084803   000000000047535.75BAHT   BAL000000049238598.75 TYPE-DE.
00010115943 T 20220103091749   000000000000103.25BAHT   BAL000000049238495.50 TO44088673004.
00010115943 D 20220103092308   000000000745365.75BAHT   BAL000000049983861.25 TYPE-DE.
00010115943 T 20220103093805   000000000000142.50BAHT   BAL000000049983718.75 TO44088673004.
00010115943 W 20220103093945   000000000000135.00BAHT   BAL000000049983583.75 .
00010115943 T 20220103095407   000000000000103.25BAHT   BAL000000049983480.50 TO11870049832.
00010115943 D 20220103100158   000000000981983.75BAHT   BAL000000050965464.25 TYPE-DE.
00010115943 D 20220103100618   000000000744223.25BAHT   BAL000000051709687.50 TYPE-DE.
00010115943 T 20220103102041   000000000000113.00BAHT   BAL000000051709574.50 TO11870049832.
00010115943 W 20220103102418   000000000000168.75BAHT   BAL000000051709405.75 .
00010115943 D 20220103104040   000000000647692.50BAHT   BAL000000052357098.25 TYPE-DE.
00010115943 T 20220103110902   000000000000148.00BAHT   BAL000000052356950.25 TO44002617524.
00010115943 W 20220103112927   000000000000153.00BAHT   BAL000000052356797.25 .
00010115943 T 20220103115744   000000000000107.75BAHT   BAL000000052356689.50 TO85614200688.
00010115943 W 20220103122635   000000000000180.50BAHT   BAL000000052356509.00 .
00010115943 W 20220103122751   000000000000131.00BAHT   BAL000000052356378.00 .
00010115943 T 20220103124033   000000000000173.75BAHT   BAL000000052356204.25 TO11870049832.
00010115943 T 20220103124638   000000000000105.75BAHT   BAL000000052356098.50 TO11870049832.
00010115943 T 20220103131254   000000000000169.00BAHT   BAL000000052355929.50 TO01133011122.
00010115943 D 20220103131419   000000000214137.75BAHT   BAL000000052570067.25 TYPE-DE.
00010115943 T 20220103133049   000000000000156.25BAHT   BAL000000052569911.00 TO01133011122.
00010115943 D 20220103135429   000000000682963.25BAHT   BAL000000053252874.25 TYPE-DE.
00010115943 D 20220103142014   000000000584218.75BAHT   BAL000000053837093.00 TYPE-DE.
00010115943 T 20220103143929   000000000000145.50BAHT   BAL000000053836947.50 TO01133011122.
00010115943 T 20220103150549   000000000000200.25BAHT   BAL000000053836747.25 TO01133011122.
00010115943 D 20220103153518   000000000955532.75BAHT   BAL000000054792280.00 TYPE-DE.
00010115943 T 20220103155949   000000000000139.00BAHT   BAL000000054792141.00 TO44002617524.
00010115943 T 20220103162934   000000000000100.50BAHT   BAL000000054792040.50 TO01133011122.
00010115943 T 20220103164634   000000000000111.75BAHT   BAL000000054791928.75 TO11870049832.
00010115943 T 20220103171330   000000000000177.75BAHT   BAL000000054791751.00 TO44088673004.
00010115943 T 20220103172606   000000000000195.25BAHT   BAL000000054791555.75 TO10803011297.
00010115943 D 20220103175508   000000000175311.25BAHT   BAL000000054966867.00 TYPE-DE.
00010115943 T 20220103180704   000000000000114.25BAHT   BAL000000054966752.75 TO44088673004.
00010115943 D 20220103181749   000000000993204.75BAHT   BAL000000055959957.50 TYPE-DE.
00010115943 D 20220103184304   000000000757502.00BAHT   BAL000000056717459.50 TYPE-DE.
00010115943 T 20220103191029   000000000000170.75BAHT   BAL000000056717288.75 TO44002617524.
00010115943 D 20220103193301   000000000424631.50BAHT   BAL000000057141920.25 TYPE-DE.
00010115943 T 20220103200050   000000000000195.00BAHT   BAL000000057141725.25 TO11870049832.
00010115943 T 20220103200312   000000000000103.25BAHT   BAL000000057141622.00 TO11870049832.
00010115943 D 20220103203216   000000000088865.00BAHT   BAL000000057230487.00 TYPE-DE.
00010115943 D 20220103210129   000000000164183.50BAHT   BAL000000057394670.50 TYPE-DE.
00010115943 T 20220103210338   000000000000136.25BAHT   BAL000000057394534.25 TO10803011297.
00010115943 T 20220103212443   000000000000190.50BAHT   BAL000000057394343.75 TO11870049832.
00010115943 D 20220103213119   000000000177753.75BAHT   BAL000000057572097.50 TYPE-DE.
00010115943 D 20220103215540   000000000457497.25BAHT   BAL000000058029594.75 TYPE-DE.
00010115943 T 20220103221359   000000000000191.75BAHT   BAL000000058029403.00 TO44088673004.
00010115943 D 20220103224238   000000000969096.00BAHT   BAL000000058998499.00 TYPE-DE.
00010115943 T 20220103224313   000000000000107.25BAHT   BAL000000058998391.75 TO01133011122.
00010115943 D 20220103231023   000000000627271.00BAHT   BAL000000059625662.75 TYPE-DE.
00010115943 D 20220103231234   000000000158723.75BAHT   BAL000000059784386.50 TYPE-DE.
00010115943 T 20220103233201   000000000000181.00BAHT   BAL000000059784205.50 TO85614200688.
00010115943 T 20220103235929   000000000000167.25BAHT   BAL000000059784038.25 TO11870049832.
00010115943 T 20220104000446   000000000000200.25BAHT   BAL000000059783838.00 TO44002617524.
00010115943 T 20220104001402   000000000000119.00BAHT   BAL000000059783719.00 TO01133011122.
00010115943 D 20220104004149   000000000793787.50BAHT   BAL000000060577506.50 TYPE-DE.
00010115943 D 20220104010556   000000000722175.00BAHT   BAL000000061299681.50 TYPE-DE.
00010115943 T 20220104012655   000000000000173.75BAHT   BAL000000061299507.75 TO44002617524.
00010115943 T 20220104015141   000000000000100.50BAHT   BAL000000061299407.25 TO10803011297.
00010115943 T 20220104020301   000000000000173.25BAHT   BAL000000061299234.00 TO01133011122.
00010115943 T 20220104021346   000000000000188.25BAHT   BAL000000061299045.75 TO01133011122.
00010115943 T 20220104023454   000000000000113.00BAHT   BAL000000061298932.75 TO44088673004.
00010115943 T 20220104023801   000000000000128.50BAHT   BAL000000061298804.25 TO10803011297.
00010115943 T 20220104025422   000000000000127.75BAHT   BAL000000061298676.50 TO85614200688.
00010115943 T 20220104031536   000000000000178.25BAHT   BAL000000061298498.25 TO01133011122.
00010115943 T 20220104032705   000000000000175.00BAHT   BAL000000061298323.25 TO11870049832.
00010115943 T 20220104035515   000000000000126.00BAHT   BAL000000061298197.25 TO85614200688.
00010115943 T 20220104040842   000000000000170.75BAHT   BAL000000061298026.50 TO11870049832.
00010115943 T 20220104042624   000000000000162.75BAHT   BAL000000061297863.75 TO44002617524.
00010115943 T 20220104044044   000000000000165.50BAHT   BAL000000061297698.25 TO11870049832.
00010115943 T 20220104044122   000000000000174.50BAHT   BAL000000061297523.75 TO01133011122.
00010115943 T 20220104050425   000000000000112.50BAHT   BAL000000061297411.25 TO85614200688.
00010115943 T 20220104051342   000000000000102.75BAHT   BAL000000061297308.50 TO01133011122.
00010115943 T 20220104053106   000000000000148.25BAHT   BAL000000061297160.25 TO44088673004.
00010115943 T 20220104053801   000000000000159.00BAHT   BAL000000061297001.25 TO10803011297.
00010115943 T 20220104055335   000000000000107.00BAHT   BAL000000061296894.25 TO10803011297.
00010115943 T 20220104060327   000000000000150.50BAHT   BAL000000061296743.75 TO44088673004.
00010115943 T 20220104062340   000000000000156.50BAHT   BAL000000061296587.25 TO01133011122.
00010115943 T 20220104062430   000000000000106.00BAHT   BAL000000061296481.25 TO11870049832.
00010115943 T 20220104062813   000000000000109.50BAHT   BAL000000061296371.75 TO01133011122.
00010115943 T 20220104064417   000000000000200.00BAHT   BAL000000061296171.75 TO01133011122.
00010115943 T 20220104070357   000000000000176.00BAHT   BAL000000061295995.75 TO01133011122.
00010115943 T 20220104070617   000000000000178.50BAHT   BAL000000061295817.25 TO11870049832.
00010115943 T 20220104073101   000000000000101.75BAHT   BAL000000061295715.50 TO44088673004.
00010115943 T 20220104074627   000000000000144.25BAHT   BAL000000061295571.25 TO85614200688.
00010115943 T 20220104080322   000000000000141.75BAHT   BAL000000061295429.50 TO01133011122.
00010115943 T 20220104082958   000000000000130.25BAHT   BAL000000061295299.25 TO11870049832.
00010115943 T 20220104085257   000000000000137.25BAHT   BAL000000061295162.00 TO10803011297.
00010115943 T 20220104085905   000000000000171.75BAHT   BAL000000061294990.25 TO11870049832.
00010115943 T 20220104091615   000000000000101.75BAHT   BAL000000061294888.50 TO44088673004.
00010115943 T 20220104093143   000000000000176.75BAHT   BAL000000061294711.75 TO10803011297.
00010115943 T 20220104094146   000000000000113.50BAHT   BAL000000061294598.25 TO01133011122.
00010115943 T 20220104095159   000000000000152.25BAHT   BAL000000061294446.00 TO10803011297.
00010115943 T 20220104095306   000000000000165.00BAHT   BAL000000061294281.00 TO44002617524.
00010115943 T 20220104095943   000000000000192.50BAHT   BAL000000061294088.50 TO01133011122.
00010115943 T 20220104101504   000000000000139.00BAHT   BAL000000061293949.50 TO01133011122.
00010115943 T 20220104101906   000000000000125.25BAHT   BAL000000061293824.25 TO01133011122.
