11870049832 I 20220101000000   000000008689014.25BAHT   BAL000000008689014.25 INITIAL.
11870049832 T 20220105060947   000000000000162.00BAHT   BAL000000008694845.25 FROM00010115943.
11870049832 T 20220105062128   000000000000181.50BAHT   BAL000000008695026.75 FROM00010115943.
11870049832 T 20220105062408   000000000000199.25BAHT   BAL000000008695226.00 FROM00010115943.
11870049832 T 20220105075818   000000000000133.00BAHT   BAL000000008695359.00 FROM00010115943.
11870049832 T 20220105081648   000000000000159.50BAHT   BAL000000008695518.50 FROM00010115943.
11870049832 T 20220101024700   000000000000160.25BAHT   BAL000000008695678.75 FROM44088673004.
11870049832 T 20220101040134   000000000000118.50BAHT   BAL000000008695797.25 FROM44088673004.
11870049832 T 20220101101022   000000000000135.00BAHT   BAL000000008695932.25 FROM44088673004.
11870049832 T 20220101121729   000000000000122.50BAHT   BAL000000008696054.75 FROM44088673004.
11870049832 T 20220101155118   000000000000192.25BAHT   BAL000000008696247.00 FROM44088673004.
11870049832 T 20220101224036   000000000000142.25BAHT   BAL000000008696389.25 FROM44088673004.
11870049832 T 20220102025230   000000000000196.25BAHT   BAL000000008696585.50 FROM44088673004.
11870049832 T 20220102041847   000000000000134.00BAHT   BAL000000008696719.50 FROM44088673004.
11870049832 T 20220102150141   000000000000115.00BAHT   BAL000000008696834.50 FROM44088673004.
11870049832 T 20220102151353   000000000000177.50BAHT   BAL000000008697012.00 FROM44088673004.
11870049832 T 20220102163332   000000000000166.25BAHT   BAL000000008697178.25 FROM44088673004.
11870049832 T 20220102172540   000000000000101.50BAHT   BAL000000008697279.75 FROM44088673004.
11870049832 T 20220102184051   000000000000142.50BAHT   BAL000000008697422.25 FROM44088673004.
11870049832 T 20220102192200   000000000000132.50BAHT   BAL000000008697554.75 FROM44088673004.
11870049832 T 20220102224207   000000000000106.25BAHT   BAL000000008697661.00 FROM44088673004.
11870049832 T 20220103013136   000000000000120.00BAHT   BAL000000008697781.00 FROM44088673004.
11870049832 T 20220103013737   000000000000162.50BAHT   BAL000000008697943.50 FROM44088673004.
11870049832 T 20220103023841   000000000000127.00BAHT   BAL000000008698070.50 FROM44088673004.
11870049832 T 20220101023205   000000000000153.25BAHT   BAL000000008698223.75 FROM44002617524.
11870049832 T 20220101102715   000000000000105.00BAHT   BAL000000008698328.75 FROM44002617524.
11870049832 T 20220101121721   000000000000128.50BAHT   BAL000000008698457.25 FROM44002617524.
11870049832 T 20220101152554   000000000000139.00BAHT   BAL000000008698596.25 FROM44002617524.
11870049832 T 20220101172825   000000000000188.25BAHT   BAL000000008698784.50 FROM44002617524.
11870049832 T 20220101233949   000000000000189.00BAHT   BAL000000008698973.50 FROM44002617524.
11870049832 T 20220102040019   000000000000159.50BAHT   BAL000000008699133.00 FROM44002617524.
11870049832 T 20220102051006   000000000000156.25BAHT   BAL000000008699289.25 FROM44002617524.
11870049832 T 20220102102316   000000000000168.25BAHT   BAL000000008699457.50 FROM44002617524.
11870049832 T 20220102153715   000000000000103.75BAHT   BAL000000008699561.25 FROM44002617524.
11870049832 T 20220102164302   000000000000168.75BAHT   BAL000000008699730.00 FROM44002617524.
11870049832 T 20220102222238   000000000000177.00BAHT   BAL000000008699907.00 FROM44002617524.
11870049832 T 20220103000140   000000000000197.00BAHT   BAL000000008700104.00 FROM44002617524.
11870049832 T 20220103075746   000000000000187.50BAHT   BAL000000008700291.50 FROM44002617524.
11870049832 T 20220103095431   000000000000101.00BAHT   BAL000000008700392.50 FROM44002617524.
11870049832 T 20220103113312   000000000000117.25BAHT   BAL000000008700509.75 FROM44002617524.
11870049832 T 20220103134139   000000000000182.50BAHT   BAL000000008700692.25 FROM44002617524.
11870049832 T 20220103162625   000000000000183.50BAHT   BAL000000008700875.75 FROM44002617524.
11870049832 T 20220103211403   000000000000168.50BAHT   BAL000000008701044.25 FROM44002617524.
11870049832 T 20220103212312   000000000000176.25BAHT   BAL000000008701220.50 FROM44002617524.
11870049832 T 20220103232134   000000000000121.75BAHT   BAL000000008701342.25 FROM44002617524.
11870049832 T 20220104045922   000000000000173.25BAHT   BAL000000008701515.50 FROM44002617524.
11870049832 T 20220104082348   000000000000176.00BAHT   BAL000000008701691.50 FROM44002617524.
11870049832 T 20220104084016   000000000000122.75BAHT   BAL000000008701814.25 FROM44002617524.
11870049832 T 20220104101041   000000000000163.25BAHT   BAL000000008701977.50 FROM44002617524.
11870049832 T 20220104122313   000000000000166.50BAHT   BAL000000008702144.00 FROM44002617524.
11870049832 T 20220104123857   000000000000190.75BAHT   BAL000000008702334.75 FROM44002617524.
11870049832 T 20220101023218   000000000000169.25BAHT   BAL000000008702504.00 FROM85614200688.
11870049832 T 20220101034729   000000000000104.25BAHT   BAL000000008702608.25 FROM85614200688.
11870049832 T 20220101054811   000000000000145.25BAHT   BAL000000008702753.50 FROM85614200688.
11870049832 T 20220101071600   000000000000171.00BAHT   BAL000000008702924.50 FROM85614200688.
11870049832 T 20220101110227   000000000000179.75BAHT   BAL000000008703104.25 FROM85614200688.
11870049832 T 20220101154414   000000000000101.50BAHT   BAL000000008703205.75 FROM85614200688.
11870049832 T 20220101170342   000000000000189.50BAHT   BAL000000008703395.25 FROM85614200688.
11870049832 T 20220102023155   000000000000133.25BAHT   BAL000000008703528.50 FROM85614200688.
11870049832 T 20220102045614   000000000000131.75BAHT   BAL000000008703660.25 FROM85614200688.
11870049832 T 20220102072018   000000000000156.50BAHT   BAL000000008703816.75 FROM85614200688.
11870049832 T 20220102095351   000000000000137.25BAHT   BAL000000008703954.00 FROM85614200688.
11870049832 T 20220102102349   000000000000126.50BAHT   BAL000000008704080.50 FROM85614200688.
11870049832 T 20220102182815   000000000000120.25BAHT   BAL000000008704200.75 FROM85614200688.
11870049832 T 20220102200555   000000000000183.75BAHT   BAL000000008704384.50 FROM85614200688.
11870049832 T 20220102203707   000000000000169.75BAHT   BAL000000008704554.25 FROM85614200688.
11870049832 T 20220103000525   000000000000109.75BAHT   BAL000000008704664.00 FROM85614200688.
11870049832 T 20220103105159   000000000000175.00BAHT   BAL000000008704839.00 FROM85614200688.
11870049832 T 20220103143059   000000000000152.00BAHT   BAL000000008704991.00 FROM85614200688.
11870049832 T 20220103150909   000000000000200.75BAHT   BAL000000008705191.75 FROM85614200688.
11870049832 T 20220103224229   000000000000127.75BAHT   BAL000000008705319.50 FROM85614200688.
11870049832 T 20220103233236   000000000000199.50BAHT   BAL000000008705519.00 FROM85614200688.
11870049832 T 20220104000242   000000000000167.75BAHT   BAL000000008705686.75 FROM85614200688.
11870049832 T 20220104003156   000000000000108.00BAHT   BAL000000008705794.75 FROM85614200688.
11870049832 T 20220104042013   000000000000123.50BAHT   BAL000000008705918.25 FROM85614200688.
11870049832 T 20220104050555   000000000000153.00BAHT   BAL000000008706071.25 FROM85614200688.
11870049832 W 20220101002950   000000000000137.00BAHT   BAL000000008705934.25 .
11870049832 W 20220101003454   000000000000162.75BAHT   BAL000000008705771.50 .
11870049832 T 20220101005606   000000000000198.25BAHT   BAL000000008705573.25 TO10803011297.
11870049832 D 20220101012301   000000000714723.25BAHT   BAL000000009420296.50 TYPE-DE.
11870049832 T 20220101015034   000000000000174.25BAHT   BAL000000009420122.25 TO85614200688.
11870049832 W 20220101015424   000000000000100.25BAHT   BAL000000009420022.00 .
11870049832 D 20220101020305   000000000266520.00BAHT   BAL000000009686542.00 TYPE-DE.
11870049832 W 20220101023106   000000000000130.75BAHT   BAL000000009686411.25 .
11870049832 W 20220101025510   000000000000189.00BAHT   BAL000000009686222.25 .
11870049832 D 20220101025950   000000000855481.00BAHT   BAL000000010541703.25 TYPE-DE.
11870049832 T 20220101030800   000000000000123.00BAHT   BAL000000010541580.25 TO01133011122.
11870049832 W 20220101031757   000000000000126.50BAHT   BAL000000010541453.75 .
11870049832 W 20220101034409   000000000000145.75BAHT   BAL000000010541308.00 .
11870049832 W 20220101035115   000000000000183.25BAHT   BAL000000010541124.75 .
11870049832 W 20220101035934   000000000000112.50BAHT   BAL000000010541012.25 .
11870049832 T 20220101040945   000000000000190.75BAHT   BAL000000010540821.50 TO44002617524.
11870049832 W 20220101042255   000000000000164.25BAHT   BAL000000010540657.25 .
11870049832 W 20220101043948   000000000000130.25BAHT   BAL000000010540527.00 .
11870049832 W 20220101050554   000000000000193.50BAHT   BAL000000010540333.50 .
11870049832 T 20220101052307   000000000000137.50BAHT   BAL000000010540196.00 TO10803011297.
11870049832 D 20220101054552   000000000480631.50BAHT   BAL000000011020827.50 TYPE-DE.
11870049832 W 20220101055237   000000000000105.50BAHT   BAL000000011020722.00 .
11870049832 D 20220101061522   000000000611482.00BAHT   BAL000000011632204.00 TYPE-DE.
11870049832 D 20220101061534   000000000973179.75BAHT   BAL000000012605383.75 TYPE-DE.
11870049832 D 20220101063116   000000000842170.75BAHT   BAL000000013447554.50 TYPE-DE.
11870049832 W 20220101065739   000000000000105.00BAHT   BAL000000013447449.50 .
11870049832 T 20220101071850   000000000000184.50BAHT   BAL000000013447265.00 TO00010115943.
11870049832 D 20220101074450   000000000984721.50BAHT   BAL000000014431986.50 TYPE-DE.
11870049832 D 20220101075613   000000000847505.00BAHT   BAL000000015279491.50 TYPE-DE.
11870049832 T 20220101082252   000000000000180.00BAHT   BAL000000015279311.50 TO85614200688.
11870049832 W 20220101082516   000000000000159.50BAHT   BAL000000015279152.00 .
11870049832 D 20220101083543   000000000958757.50BAHT   BAL000000016237909.50 TYPE-DE.
11870049832 T 20220101090034   000000000000142.25BAHT   BAL000000016237767.25 TO44002617524.
11870049832 D 20220101091041   000000000439584.75BAHT   BAL000000016677352.00 TYPE-DE.
11870049832 D 20220101092144   000000000713078.50BAHT   BAL000000017390430.50 TYPE-DE.
11870049832 T 20220101094221   000000000000188.25BAHT   BAL000000017390242.25 TO44002617524.
11870049832 W 20220101095757   000000000000199.75BAHT   BAL000000017390042.50 .
11870049832 T 20220101100530   000000000000159.25BAHT   BAL000000017389883.25 TO10803011297.
11870049832 T 20220101101749   000000000000189.25BAHT   BAL000000017389694.00 TO44088673004.
11870049832 W 20220101102355   000000000000181.00BAHT   BAL000000017389513.00 .
11870049832 T 20220101105333   000000000000166.00BAHT   BAL000000017389347.00 TO85614200688.
11870049832 T 20220101111600   000000000000121.75BAHT   BAL000000017389225.25 TO85614200688.
11870049832 D 20220101112210   000000000486754.75BAHT   BAL000000017875980.00 TYPE-DE.
11870049832 T 20220101113938   000000000000174.00BAHT   BAL000000017875806.00 TO44088673004.
11870049832 W 20220101120323   000000000000189.75BAHT   BAL000000017875616.25 .
11870049832 T 20220101122908   000000000000127.25BAHT   BAL000000017875489.00 TO85614200688.
11870049832 D 20220101123500   000000000674184.00BAHT   BAL000000018549673.00 TYPE-DE.
11870049832 T 20220101130311   000000000000113.50BAHT   BAL000000018549559.50 TO00010115943.
11870049832 D 20220101131021   000000000979705.25BAHT   BAL000000019529264.75 TYPE-DE.
11870049832 D 20220101132055   000000000145622.75BAHT   BAL000000019674887.50 TYPE-DE.
11870049832 T 20220101132825   000000000000182.25BAHT   BAL000000019674705.25 TO01133011122.
11870049832 T 20220101134533   000000000000191.75BAHT   BAL000000019674513.50 TO10803011297.
11870049832 D 20220101134730   000000000285668.50BAHT   BAL000000019960182.00 TYPE-DE.
11870049832 W 20220101141619   000000000000164.75BAHT   BAL000000019960017.25 .
11870049832 W 20220101144231   000000000000127.00BAHT   BAL000000019959890.25 .
11870049832 W 20220101144416   000000000000135.50BAHT   BAL000000019959754.75 .
11870049832 D 20220101150118   000000000039512.50BAHT   BAL000000019999267.25 TYPE-DE.
11870049832 D 20220101151000   000000000995250.50BAHT   BAL000000020994517.75 TYPE-DE.
11870049832 W 20220101152839   000000000000159.00BAHT   BAL000000020994358.75 .
11870049832 T 20220101153646   000000000000112.50BAHT   BAL000000020994246.25 TO00010115943.
11870049832 D 20220101160531   000000000721817.50BAHT   BAL000000021716063.75 TYPE-DE.
11870049832 T 20220101163409   000000000000147.00BAHT   BAL000000021715916.75 TO00010115943.
11870049832 D 20220101164756   000000000858034.75BAHT   BAL000000022573951.50 TYPE-DE.
11870049832 D 20220101171105   000000000748863.00BAHT   BAL000000023322814.50 TYPE-DE.
11870049832 D 20220101171701   000000000564056.75BAHT   BAL000000023886871.25 TYPE-DE.
11870049832 W 20220101174406   000000000000126.00BAHT   BAL000000023886745.25 .
11870049832 T 20220101180724   000000000000144.00BAHT   BAL000000023886601.25 TO00010115943.
11870049832 W 20220101181646   000000000000173.75BAHT   BAL000000023886427.50 .
11870049832 T 20220101184633   000000000000104.00BAHT   BAL000000023886323.50 TO00010115943.
11870049832 T 20220101191250   000000000000171.00BAHT   BAL000000023886152.50 TO44088673004.
11870049832 D 20220101192532   000000000556605.00BAHT   BAL000000024442757.50 TYPE-DE.
11870049832 D 20220101194221   000000000434378.75BAHT   BAL000000024877136.25 TYPE-DE.
11870049832 W 20220101194835   000000000000128.25BAHT   BAL000000024877008.00 .
11870049832 T 20220101201253   000000000000150.50BAHT   BAL000000024876857.50 TO44088673004.
11870049832 D 20220101202224   000000000774502.25BAHT   BAL000000025651359.75 TYPE-DE.
11870049832 T 20220101204152   000000000000152.50BAHT   BAL000000025651207.25 TO01133011122.
11870049832 D 20220101204612   000000000005461.75BAHT   BAL000000025656669.00 TYPE-DE.
11870049832 D 20220101210330   000000000330250.00BAHT   BAL000000025986919.00 TYPE-DE.
11870049832 W 20220101210823   000000000000200.00BAHT   BAL000000025986719.00 .
11870049832 T 20220101211942   000000000000177.00BAHT   BAL000000025986542.00 TO00010115943.
11870049832 W 20220101214940   000000000000145.25BAHT   BAL000000025986396.75 .
11870049832 W 20220101215351   000000000000106.25BAHT   BAL000000025986290.50 .
11870049832 D 20220101215808   000000000543907.25BAHT   BAL000000026530197.75 TYPE-DE.
11870049832 D 20220101220125   000000000943672.50BAHT   BAL000000027473870.25 TYPE-DE.
11870049832 D 20220101220306   000000000855732.75BAHT   BAL000000028329603.00 TYPE-DE.
11870049832 D 20220101220646   000000000948161.00BAHT   BAL000000029277764.00 TYPE-DE.
11870049832 W 20220101222856   000000000000187.50BAHT   BAL000000029277576.50 .
11870049832 T 20220101223601   000000000000187.00BAHT   BAL000000029277389.50 TO01133011122.
11870049832 W 20220101230428   000000000000157.75BAHT   BAL000000029277231.75 .
11870049832 W 20220101232825   000000000000144.25BAHT   BAL000000029277087.50 .
11870049832 D 20220101233337   000000000560914.00BAHT   BAL000000029838001.50 TYPE-DE.
11870049832 W 20220101235324   000000000000172.00BAHT   BAL000000029837829.50 .
11870049832 W 20220102001554   000000000000146.50BAHT   BAL000000029837683.00 .
11870049832 D 20220102003708   000000000542738.50BAHT   BAL000000030380421.50 TYPE-DE.
11870049832 W 20220102005229   000000000000124.25BAHT   BAL000000030380297.25 .
11870049832 D 20220102011446   000000000400161.25BAHT   BAL000000030780458.50 TYPE-DE.
11870049832 D 20220102012054   000000000445760.25BAHT   BAL000000031226218.75 TYPE-DE.
11870049832 W 20220102014521   000000000000180.00BAHT   BAL000000031226038.75 .
11870049832 W 20220102015105   000000000000167.00BAHT   BAL000000031225871.75 .
11870049832 T 20220102020151   000000000000178.25BAHT   BAL000000031225693.50 TO85614200688.
11870049832 D 20220102021224   000000000040192.00BAHT   BAL000000031265885.50 TYPE-DE.
11870049832 W 20220102023631   000000000000117.75BAHT   BAL000000031265767.75 .
11870049832 T 20220102025310   000000000000149.25BAHT   BAL000000031265618.50 TO44002617524.
11870049832 W 20220102032209   000000000000183.75BAHT   BAL000000031265434.75 .
11870049832 W 20220102034037   000000000000140.75BAHT   BAL000000031265294.00 .
11870049832 D 20220102040145   000000000037495.50BAHT   BAL000000031302789.50 TYPE-DE.
11870049832 D 20220102043035   000000000741822.25BAHT   BAL000000032044611.75 TYPE-DE.
11870049832 W 20220102050011   000000000000180.50BAHT   BAL000000032044431.25 .
11870049832 D 20220102051838   000000000630207.25BAHT   BAL000000032674638.50 TYPE-DE.
11870049832 W 20220102054545   000000000000161.00BAHT   BAL000000032674477.50 .
11870049832 T 20220102054604   000000000000103.50BAHT   BAL000000032674374.00 TO44002617524.
11870049832 W 20220102054659   000000000000120.50BAHT   BAL000000032674253.50 .
11870049832 D 20220102055903   000000000676665.00BAHT   BAL000000033350918.50 TYPE-DE.
11870049832 W 20220102061108   000000000000189.50BAHT   BAL000000033350729.00 .
11870049832 T 20220102061349   000000000000114.25BAHT   BAL000000033350614.75 TO10803011297.
11870049832 D 20220102062155   000000000332312.25BAHT   BAL000000033682927.00 TYPE-DE.
11870049832 W 20220102062623   000000000000117.00BAHT   BAL000000033682810.00 .
11870049832 W 20220102064853   000000000000104.50BAHT   BAL000000033682705.50 .
11870049832 D 20220102065753   000000000169161.75BAHT   BAL000000033851867.25 TYPE-DE.
11870049832 W 20220102071146   000000000000179.75BAHT   BAL000000033851687.50 .
11870049832 D 20220102073920   000000000849531.75BAHT   BAL000000034701219.25 TYPE-DE.
11870049832 W 20220102075725   000000000000117.25BAHT   BAL000000034701102.00 .
11870049832 W 20220102081725   000000000000140.75BAHT   BAL000000034700961.25 .
11870049832 D 20220102082955   000000000709616.75BAHT   BAL000000035410578.00 TYPE-DE.
11870049832 W 20220102083158   000000000000115.50BAHT   BAL000000035410462.50 .
11870049832 W 20220102084146   000000000000167.50BAHT   BAL000000035410295.00 .
11870049832 D 20220102085110   000000000096019.25BAHT   BAL000000035506314.25 TYPE-DE.
11870049832 T 20220102090937   000000000000128.75BAHT   BAL000000035506185.50 TO85614200688.
11870049832 D 20220102093627   000000000706541.75BAHT   BAL000000036212727.25 TYPE-DE.
11870049832 W 20220102093951   000000000000128.75BAHT   BAL000000036212598.50 .
11870049832 D 20220102095540   000000000046693.75BAHT   BAL000000036259292.25 TYPE-DE.
11870049832 T 20220102101512   000000000000160.50BAHT   BAL000000036259131.75 TO44002617524.
11870049832 W 20220102101942   000000000000160.75BAHT   BAL000000036258971.00 .
11870049832 T 20220102102725   000000000000192.50BAHT   BAL000000036258778.50 TO00010115943.
11870049832 T 20220102104435   000000000000130.50BAHT   BAL000000036258648.00 TO10803011297.
11870049832 W 20220102111410   000000000000197.50BAHT   BAL000000036258450.50 .
11870049832 T 20220102113953   000000000000154.25BAHT   BAL000000036258296.25 TO00010115943.
11870049832 T 20220102114753   000000000000169.00BAHT   BAL000000036258127.25 TO00010115943.
11870049832 W 20220102115541   000000000000143.75BAHT   BAL000000036257983.50 .
11870049832 W 20220102115951   000000000000184.75BAHT   BAL000000036257798.75 .
11870049832 D 20220102122842   000000000513799.50BAHT   BAL000000036771598.25 TYPE-DE.
11870049832 W 20220102122931   000000000000193.75BAHT   BAL000000036771404.50 .
11870049832 W 20220102124610   000000000000125.25BAHT   BAL000000036771279.25 .
11870049832 T 20220102125555   000000000000152.50BAHT   BAL000000036771126.75 TO00010115943.
11870049832 T 20220102130659   000000000000140.50BAHT   BAL000000036770986.25 TO10803011297.
11870049832 T 20220102130719   000000000000136.00BAHT   BAL000000036770850.25 TO01133011122.
11870049832 W 20220102130955   000000000000160.50BAHT   BAL000000036770689.75 .
11870049832 T 20220102131230   000000000000121.50BAHT   BAL000000036770568.25 TO00010115943.
11870049832 W 20220102132728   000000000000112.25BAHT   BAL000000036770456.00 .
11870049832 T 20220102134104   000000000000179.00BAHT   BAL000000036770277.00 TO85614200688.
11870049832 D 20220102134624   000000000255132.00BAHT   BAL000000037025409.00 TYPE-DE.
11870049832 W 20220102135100   000000000000146.75BAHT   BAL000000037025262.25 .
11870049832 T 20220102141647   000000000000124.25BAHT   BAL000000037025138.00 TO44002617524.
11870049832 T 20220102142110   000000000000193.25BAHT   BAL000000037024944.75 TO85614200688.
11870049832 W 20220102143058   000000000000201.75BAHT   BAL000000037024743.00 .
11870049832 W 20220102143221   000000000000124.00BAHT   BAL000000037024619.00 .
11870049832 T 20220102145723   000000000000128.75BAHT   BAL000000037024490.25 TO01133011122.
11870049832 D 20220102150231   000000000588448.75BAHT   BAL000000037612939.00 TYPE-DE.
11870049832 W 20220102153109   000000000000100.50BAHT   BAL000000037612838.50 .
11870049832 T 20220102154611   000000000000134.75BAHT   BAL000000037612703.75 TO85614200688.
11870049832 D 20220102155727   000000000153747.25BAHT   BAL000000037766451.00 TYPE-DE.
11870049832 T 20220102160452   000000000000176.00BAHT   BAL000000037766275.00 TO00010115943.
11870049832 W 20220102160800   000000000000160.00BAHT   BAL000000037766115.00 .
11870049832 T 20220102162230   000000000000103.00BAHT   BAL000000037766012.00 TO44002617524.
11870049832 D 20220102162442   000000000609852.00BAHT   BAL000000038375864.00 TYPE-DE.
11870049832 T 20220102163516   000000000000183.75BAHT   BAL000000038375680.25 TO44088673004.
11870049832 T 20220102165029   000000000000167.00BAHT   BAL000000038375513.25 TO10803011297.
11870049832 W 20220102171742   000000000000134.50BAHT   BAL000000038375378.75 .
11870049832 W 20220102173045   000000000000112.50BAHT   BAL000000038375266.25 .
11870049832 W 20220102174531   000000000000200.00BAHT   BAL000000038375066.25 .
11870049832 W 20220102174856   000000000000188.25BAHT   BAL000000038374878.00 .
11870049832 W 20220102174917   000000000000145.50BAHT   BAL000000038374732.50 .
11870049832 D 20220102181438   000000000333663.25BAHT   BAL000000038708395.75 TYPE-DE.
11870049832 W 20220102182425   000000000000200.25BAHT   BAL000000038708195.50 .
11870049832 D 20220102184408   000000000159396.25BAHT   BAL000000038867591.75 TYPE-DE.
11870049832 T 20220102184642   000000000000138.50BAHT   BAL000000038867453.25 TO01133011122.
11870049832 T 20220102190205   000000000000114.75BAHT   BAL000000038867338.50 TO85614200688.
11870049832 D 20220102190238   000000000479499.25BAHT   BAL000000039346837.75 TYPE-DE.
11870049832 T 20220102191544   000000000000186.25BAHT   BAL000000039346651.50 TO85614200688.
11870049832 W 20220102194534   000000000000186.50BAHT   BAL000000039346465.00 .
11870049832 D 20220102200329   000000000503476.50BAHT   BAL000000039849941.50 TYPE-DE.
11870049832 D 20220102201132   000000000375270.00BAHT   BAL000000040225211.50 TYPE-DE.
11870049832 D 20220102203646   000000000327318.50BAHT   BAL000000040552530.00 TYPE-DE.
11870049832 T 20220102205703   000000000000126.50BAHT   BAL000000040552403.50 TO00010115943.
11870049832 T 20220102211047   000000000000118.25BAHT   BAL000000040552285.25 TO44088673004.
11870049832 T 20220102212820   000000000000101.75BAHT   BAL000000040552183.50 TO10803011297.
11870049832 D 20220102215017   000000000826092.25BAHT   BAL000000041378275.75 TYPE-DE.
11870049832 T 20220102215156   000000000000125.75BAHT   BAL000000041378150.00 TO44002617524.
11870049832 T 20220102215749   000000000000117.00BAHT   BAL000000041378033.00 TO10803011297.
11870049832 D 20220102220426   000000000939847.50BAHT   BAL000000042317880.50 TYPE-DE.
11870049832 D 20220102221141   000000000439246.00BAHT   BAL000000042757126.50 TYPE-DE.
11870049832 T 20220102221836   000000000000140.50BAHT   BAL000000042756986.00 TO85614200688.
11870049832 T 20220102223521   000000000000129.50BAHT   BAL000000042756856.50 TO00010115943.
11870049832 T 20220102223628   000000000000141.25BAHT   BAL000000042756715.25 TO44088673004.
11870049832 T 20220102225705   000000000000166.25BAHT   BAL000000042756549.00 TO85614200688.
11870049832 T 20220102231958   000000000000192.25BAHT   BAL000000042756356.75 TO85614200688.
11870049832 D 20220102234704   000000000185300.00BAHT   BAL000000042941656.75 TYPE-DE.
11870049832 T 20220102235930   000000000000125.75BAHT   BAL000000042941531.00 TO10803011297.
11870049832 D 20220103000813   000000000640139.00BAHT   BAL000000043581670.00 TYPE-DE.
11870049832 D 20220103001448   000000000414888.50BAHT   BAL000000043996558.50 TYPE-DE.
11870049832 D 20220103003638   000000000154485.25BAHT   BAL000000044151043.75 TYPE-DE.
11870049832 D 20220103005537   000000000563387.50BAHT   BAL000000044714431.25 TYPE-DE.
11870049832 D 20220103010845   000000000179748.50BAHT   BAL000000044894179.75 TYPE-DE.
11870049832 D 20220103010929   000000000653582.00BAHT   BAL000000045547761.75 TYPE-DE.
11870049832 D 20220103012719   000000000143395.50BAHT   BAL000000045691157.25 TYPE-DE.
11870049832 D 20220103013532   000000000143955.75BAHT   BAL000000045835113.00 TYPE-DE.
11870049832 D 20220103013902   000000000223882.25BAHT   BAL000000046058995.25 TYPE-DE.
11870049832 D 20220103020123   000000000388093.75BAHT   BAL000000046447089.00 TYPE-DE.
11870049832 T 20220103023051   000000000000163.25BAHT   BAL000000046446925.75 TO00010115943.
