44088673004 I 20220101000000   000000002572713.50BAHT   BAL000000002572713.50 INITIAL.
44088673004 T 20220104091615   000000000000101.75BAHT   BAL000000002576409.00 FROM00010115943.
44088673004 T 20220104123310   000000000000142.00BAHT   BAL000000002576551.00 FROM00010115943.
44088673004 T 20220104125017   000000000000141.25BAHT   BAL000000002576692.25 FROM00010115943.
44088673004 T 20220104131234   000000000000126.25BAHT   BAL000000002576818.50 FROM00010115943.
44088673004 T 20220104151939   000000000000195.25BAHT   BAL000000002577013.75 FROM00010115943.
44088673004 T 20220104170753   000000000000181.75BAHT   BAL000000002577195.50 FROM00010115943.
44088673004 T 20220104173525   000000000000137.00BAHT   BAL000000002577332.50 FROM00010115943.
44088673004 T 20220104212527   000000000000150.00BAHT   BAL000000002577482.50 FROM00010115943.
44088673004 T 20220105015827   000000000000174.50BAHT   BAL000000002577657.00 FROM00010115943.
44088673004 D 20220101001533   000000000233548.75BAHT   BAL000000002811205.75 TYPE-DE.
44088673004 T 20220101003536   000000000000103.50BAHT   BAL000000002811102.25 TO85614200688.
44088673004 T 20220101005752   000000000000123.75BAHT   BAL000000002810978.50 TO44002617524.
44088673004 W 20220101010201   000000000000104.00BAHT   BAL000000002810874.50 .
44088673004 T 20220101011314   000000000000177.75BAHT   BAL000000002810696.75 TO85614200688.
44088673004 W 20220101011840   000000000000112.25BAHT   BAL000000002810584.50 .
44088673004 D 20220101013928   000000000110600.75BAHT   BAL000000002921185.25 TYPE-DE.
44088673004 T 20220101014950   000000000000121.50BAHT   BAL000000002921063.75 TO01133011122.
44088673004 T 20220101021128   000000000000179.00BAHT   BAL000000002920884.75 TO85614200688.
44088673004 T 20220101021550   000000000000173.25BAHT   BAL000000002920711.50 TO00010115943.
44088673004 D 20220101021850   000000000547253.75BAHT   BAL000000003467965.25 TYPE-DE.
44088673004 D 20220101023334   000000000221775.50BAHT   BAL000000003689740.75 TYPE-DE.
44088673004 T 20220101024700   000000000000160.25BAHT   BAL000000003689580.50 TO11870049832.
44088673004 D 20220101030747   000000000126081.75BAHT   BAL000000003815662.25 TYPE-DE.
44088673004 T 20220101033736   000000000000160.00BAHT   BAL000000003815502.25 TO10803011297.
44088673004 T 20220101040134   000000000000118.50BAHT   BAL000000003815383.75 TO11870049832.
44088673004 D 20220101042342   000000000905341.00BAHT   BAL000000004720724.75 TYPE-DE.
44088673004 D 20220101042525   000000000704876.75BAHT   BAL000000005425601.50 TYPE-DE.
44088673004 W 20220101045333   000000000000130.75BAHT   BAL000000005425470.75 .
44088673004 W 20220101050833   000000000000116.50BAHT   BAL000000005425354.25 .
44088673004 T 20220101051009   000000000000187.75BAHT   BAL000000005425166.50 TO10803011297.
44088673004 T 20220101051650   000000000000122.50BAHT   BAL000000005425044.00 TO01133011122.
44088673004 T 20220101052226   000000000000174.00BAHT   BAL000000005424870.00 TO10803011297.
44088673004 T 20220101054413   000000000000144.75BAHT   BAL000000005424725.25 TO10803011297.
44088673004 D 20220101060846   000000000058290.25BAHT   BAL000000005483015.50 TYPE-DE.
44088673004 W 20220101062655   000000000000199.00BAHT   BAL000000005482816.50 .
44088673004 T 20220101063941   000000000000111.50BAHT   BAL000000005482705.00 TO85614200688.
44088673004 W 20220101065244   000000000000135.50BAHT   BAL000000005482569.50 .
44088673004 D 20220101070843   000000000439126.75BAHT   BAL000000005921696.25 TYPE-DE.
44088673004 T 20220101072516   000000000000193.00BAHT   BAL000000005921503.25 TO10803011297.
44088673004 W 20220101073446   000000000000115.50BAHT   BAL000000005921387.75 .
44088673004 T 20220101075036   000000000000136.75BAHT   BAL000000005921251.00 TO01133011122.
44088673004 D 20220101081337   000000000638689.25BAHT   BAL000000006559940.25 TYPE-DE.
44088673004 W 20220101081832   000000000000188.25BAHT   BAL000000006559752.00 .
44088673004 D 20220101084739   000000000706224.50BAHT   BAL000000007265976.50 TYPE-DE.
44088673004 W 20220101091149   000000000000137.50BAHT   BAL000000007265839.00 .
44088673004 W 20220101092339   000000000000101.25BAHT   BAL000000007265737.75 .
44088673004 T 20220101092401   000000000000128.75BAHT   BAL000000007265609.00 TO00010115943.
44088673004 D 20220101094311   000000000895075.00BAHT   BAL000000008160684.00 TYPE-DE.
44088673004 T 20220101094930   000000000000183.00BAHT   BAL000000008160501.00 TO01133011122.
44088673004 T 20220101101022   000000000000135.00BAHT   BAL000000008160366.00 TO11870049832.
44088673004 D 20220101103011   000000000700734.50BAHT   BAL000000008861100.50 TYPE-DE.
44088673004 T 20220101104117   000000000000188.00BAHT   BAL000000008860912.50 TO10803011297.
44088673004 W 20220101110805   000000000000150.25BAHT   BAL000000008860762.25 .
44088673004 T 20220101112325   000000000000130.25BAHT   BAL000000008860632.00 TO44002617524.
44088673004 T 20220101113007   000000000000121.75BAHT   BAL000000008860510.25 TO44002617524.
44088673004 W 20220101113045   000000000000180.00BAHT   BAL000000008860330.25 .
44088673004 T 20220101115341   000000000000145.25BAHT   BAL000000008860185.00 TO44002617524.
44088673004 T 20220101121729   000000000000122.50BAHT   BAL000000008860062.50 TO11870049832.
44088673004 D 20220101123533   000000000372688.00BAHT   BAL000000009232750.50 TYPE-DE.
44088673004 D 20220101125237   000000000112775.75BAHT   BAL000000009345526.25 TYPE-DE.
44088673004 D 20220101125753   000000000299784.00BAHT   BAL000000009645310.25 TYPE-DE.
44088673004 D 20220101131439   000000000720978.75BAHT   BAL000000010366289.00 TYPE-DE.
44088673004 D 20220101134109   000000000061140.25BAHT   BAL000000010427429.25 TYPE-DE.
44088673004 W 20220101140258   000000000000127.25BAHT   BAL000000010427302.00 .
44088673004 T 20220101140556   000000000000111.00BAHT   BAL000000010427191.00 TO10803011297.
44088673004 W 20220101142117   000000000000148.50BAHT   BAL000000010427042.50 .
44088673004 W 20220101143920   000000000000141.25BAHT   BAL000000010426901.25 .
44088673004 D 20220101150246   000000000934782.50BAHT   BAL000000011361683.75 TYPE-DE.
44088673004 W 20220101152531   000000000000127.75BAHT   BAL000000011361556.00 .
44088673004 T 20220101155118   000000000000192.25BAHT   BAL000000011361363.75 TO11870049832.
44088673004 D 20220101160337   000000000978448.25BAHT   BAL000000012339812.00 TYPE-DE.
44088673004 D 20220101162800   000000000117376.25BAHT   BAL000000012457188.25 TYPE-DE.
44088673004 T 20220101163218   000000000000161.75BAHT   BAL000000012457026.50 TO00010115943.
44088673004 D 20220101165654   000000000177139.50BAHT   BAL000000012634166.00 TYPE-DE.
44088673004 T 20220101170556   000000000000200.25BAHT   BAL000000012633965.75 TO85614200688.
44088673004 T 20220101172817   000000000000124.50BAHT   BAL000000012633841.25 TO85614200688.
44088673004 W 20220101173348   000000000000117.75BAHT   BAL000000012633723.50 .
44088673004 W 20220101175251   000000000000106.00BAHT   BAL000000012633617.50 .
44088673004 W 20220101181057   000000000000198.50BAHT   BAL000000012633419.00 .
44088673004 T 20220101181932   000000000000119.25BAHT   BAL000000012633299.75 TO01133011122.
44088673004 D 20220101183003   000000000027535.50BAHT   BAL000000012660835.25 TYPE-DE.
44088673004 D 20220101184836   000000000027289.00BAHT   BAL000000012688124.25 TYPE-DE.
44088673004 T 20220101185721   000000000000157.75BAHT   BAL000000012687966.50 TO10803011297.
44088673004 D 20220101190915   000000000704102.00BAHT   BAL000000013392068.50 TYPE-DE.
44088673004 T 20220101191821   000000000000152.75BAHT   BAL000000013391915.75 TO10803011297.
44088673004 D 20220101193732   000000000925280.00BAHT   BAL000000014317195.75 TYPE-DE.
44088673004 W 20220101194521   000000000000106.75BAHT   BAL000000014317089.00 .
44088673004 W 20220101195453   000000000000163.00BAHT   BAL000000014316926.00 .
44088673004 W 20220101201823   000000000000166.50BAHT   BAL000000014316759.50 .
44088673004 W 20220101204114   000000000000145.00BAHT   BAL000000014316614.50 .
44088673004 W 20220101204814   000000000000114.75BAHT   BAL000000014316499.75 .
44088673004 W 20220101210109   000000000000200.00BAHT   BAL000000014316299.75 .
44088673004 D 20220101211505   000000000290560.00BAHT   BAL000000014606859.75 TYPE-DE.
44088673004 D 20220101211858   000000000428298.00BAHT   BAL000000015035157.75 TYPE-DE.
44088673004 T 20220101213202   000000000000114.00BAHT   BAL000000015035043.75 TO44002617524.
44088673004 T 20220101215426   000000000000145.75BAHT   BAL000000015034898.00 TO10803011297.
44088673004 D 20220101220712   000000000029049.00BAHT   BAL000000015063947.00 TYPE-DE.
44088673004 D 20220101223213   000000000011582.00BAHT   BAL000000015075529.00 TYPE-DE.
44088673004 T 20220101224036   000000000000142.25BAHT   BAL000000015075386.75 TO11870049832.
44088673004 D 20220101225314   000000000516143.25BAHT   BAL000000015591530.00 TYPE-DE.
44088673004 T 20220101230137   000000000000105.25BAHT   BAL000000015591424.75 TO10803011297.
44088673004 T 20220101230141   000000000000176.25BAHT   BAL000000015591248.50 TO00010115943.
44088673004 W 20220101230355   000000000000154.75BAHT   BAL000000015591093.75 .
44088673004 W 20220101230615   000000000000109.75BAHT   BAL000000015590984.00 .
44088673004 W 20220101230757   000000000000199.25BAHT   BAL000000015590784.75 .
44088673004 T 20220101232305   000000000000138.25BAHT   BAL000000015590646.50 TO85614200688.
44088673004 W 20220101234940   000000000000116.75BAHT   BAL000000015590529.75 .
44088673004 D 20220102000913   000000000237530.75BAHT   BAL000000015828060.50 TYPE-DE.
44088673004 T 20220102001927   000000000000181.50BAHT   BAL000000015827879.00 TO44002617524.
44088673004 W 20220102003507   000000000000148.00BAHT   BAL000000015827731.00 .
44088673004 W 20220102010146   000000000000126.25BAHT   BAL000000015827604.75 .
44088673004 W 20220102012014   000000000000117.00BAHT   BAL000000015827487.75 .
44088673004 D 20220102014118   000000000476650.50BAHT   BAL000000016304138.25 TYPE-DE.
44088673004 W 20220102014815   000000000000188.25BAHT   BAL000000016303950.00 .
44088673004 W 20220102015233   000000000000147.00BAHT   BAL000000016303803.00 .
44088673004 T 20220102020459   000000000000132.75BAHT   BAL000000016303670.25 TO85614200688.
44088673004 W 20220102023424   000000000000163.00BAHT   BAL000000016303507.25 .
44088673004 T 20220102025230   000000000000196.25BAHT   BAL000000016303311.00 TO11870049832.
44088673004 W 20220102031304   000000000000169.25BAHT   BAL000000016303141.75 .
44088673004 D 20220102032246   000000000853293.75BAHT   BAL000000017156435.50 TYPE-DE.
44088673004 D 20220102034211   000000000793526.25BAHT   BAL000000017949961.75 TYPE-DE.
44088673004 T 20220102040959   000000000000175.00BAHT   BAL000000017949786.75 TO00010115943.
44088673004 T 20220102041847   000000000000134.00BAHT   BAL000000017949652.75 TO11870049832.
44088673004 W 20220102042812   000000000000140.00BAHT   BAL000000017949512.75 .
44088673004 T 20220102043842   000000000000100.00BAHT   BAL000000017949412.75 TO85614200688.
44088673004 D 20220102050417   000000000103333.00BAHT   BAL000000018052745.75 TYPE-DE.
44088673004 W 20220102052102   000000000000192.25BAHT   BAL000000018052553.50 .
44088673004 D 20220102053104   000000000498089.75BAHT   BAL000000018550643.25 TYPE-DE.
44088673004 D 20220102053624   000000000443078.25BAHT   BAL000000018993721.50 TYPE-DE.
44088673004 D 20220102055846   000000000951899.00BAHT   BAL000000019945620.50 TYPE-DE.
44088673004 D 20220102061026   000000000131192.00BAHT   BAL000000020076812.50 TYPE-DE.
44088673004 D 20220102062059   000000000207497.25BAHT   BAL000000020284309.75 TYPE-DE.
44088673004 W 20220102064626   000000000000134.75BAHT   BAL000000020284175.00 .
44088673004 D 20220102070036   000000000926530.00BAHT   BAL000000021210705.00 TYPE-DE.
44088673004 T 20220102070519   000000000000185.25BAHT   BAL000000021210519.75 TO10803011297.
44088673004 W 20220102073143   000000000000161.25BAHT   BAL000000021210358.50 .
44088673004 W 20220102074957   000000000000158.75BAHT   BAL000000021210199.75 .
44088673004 T 20220102080325   000000000000121.50BAHT   BAL000000021210078.25 TO10803011297.
44088673004 T 20220102083107   000000000000118.00BAHT   BAL000000021209960.25 TO85614200688.
44088673004 T 20220102085904   000000000000143.00BAHT   BAL000000021209817.25 TO00010115943.
44088673004 W 20220102090257   000000000000159.00BAHT   BAL000000021209658.25 .
44088673004 W 20220102093104   000000000000148.25BAHT   BAL000000021209510.00 .
44088673004 W 20220102094419   000000000000101.25BAHT   BAL000000021209408.75 .
44088673004 T 20220102101402   000000000000154.25BAHT   BAL000000021209254.50 TO10803011297.
44088673004 W 20220102103420   000000000000181.25BAHT   BAL000000021209073.25 .
44088673004 W 20220102110139   000000000000134.50BAHT   BAL000000021208938.75 .
44088673004 W 20220102110435   000000000000171.75BAHT   BAL000000021208767.00 .
44088673004 T 20220102110840   000000000000195.50BAHT   BAL000000021208571.50 TO01133011122.
44088673004 W 20220102110935   000000000000153.75BAHT   BAL000000021208417.75 .
44088673004 D 20220102111436   000000000255811.00BAHT   BAL000000021464228.75 TYPE-DE.
44088673004 W 20220102114045   000000000000177.50BAHT   BAL000000021464051.25 .
44088673004 T 20220102120754   000000000000156.50BAHT   BAL000000021463894.75 TO44002617524.
44088673004 T 20220102123347   000000000000161.50BAHT   BAL000000021463733.25 TO00010115943.
44088673004 D 20220102123736   000000000399873.75BAHT   BAL000000021863607.00 TYPE-DE.
44088673004 D 20220102125433   000000000833401.25BAHT   BAL000000022697008.25 TYPE-DE.
44088673004 T 20220102125648   000000000000191.75BAHT   BAL000000022696816.50 TO01133011122.
44088673004 T 20220102130034   000000000000201.75BAHT   BAL000000022696614.75 TO85614200688.
44088673004 W 20220102131003   000000000000140.50BAHT   BAL000000022696474.25 .
44088673004 T 20220102131003   000000000000107.50BAHT   BAL000000022696366.75 TO00010115943.
44088673004 T 20220102132339   000000000000136.00BAHT   BAL000000022696230.75 TO44002617524.
44088673004 D 20220102134929   000000000755777.00BAHT   BAL000000023452007.75 TYPE-DE.
44088673004 W 20220102141409   000000000000104.00BAHT   BAL000000023451903.75 .
44088673004 D 20220102141544   000000000246353.75BAHT   BAL000000023698257.50 TYPE-DE.
44088673004 D 20220102143455   000000000651055.50BAHT   BAL000000024349313.00 TYPE-DE.
44088673004 D 20220102144202   000000000113957.75BAHT   BAL000000024463270.75 TYPE-DE.
44088673004 T 20220102150141   000000000000115.00BAHT   BAL000000024463155.75 TO11870049832.
44088673004 T 20220102151353   000000000000177.50BAHT   BAL000000024462978.25 TO11870049832.
44088673004 W 20220102154229   000000000000143.50BAHT   BAL000000024462834.75 .
44088673004 W 20220102161140   000000000000196.00BAHT   BAL000000024462638.75 .
44088673004 T 20220102163332   000000000000166.25BAHT   BAL000000024462472.50 TO11870049832.
44088673004 T 20220102165504   000000000000165.50BAHT   BAL000000024462307.00 TO00010115943.
44088673004 D 20220102170108   000000000216121.75BAHT   BAL000000024678428.75 TYPE-DE.
44088673004 T 20220102172540   000000000000101.50BAHT   BAL000000024678327.25 TO11870049832.
44088673004 D 20220102174741   000000000080785.25BAHT   BAL000000024759112.50 TYPE-DE.
44088673004 D 20220102175017   000000000681256.75BAHT   BAL000000025440369.25 TYPE-DE.
44088673004 D 20220102181108   000000000184295.50BAHT   BAL000000025624664.75 TYPE-DE.
44088673004 T 20220102184051   000000000000142.50BAHT   BAL000000025624522.25 TO11870049832.
44088673004 D 20220102190354   000000000576643.00BAHT   BAL000000026201165.25 TYPE-DE.
44088673004 D 20220102191221   000000000700546.75BAHT   BAL000000026901712.00 TYPE-DE.
44088673004 T 20220102192200   000000000000132.50BAHT   BAL000000026901579.50 TO11870049832.
44088673004 D 20220102192247   000000000360153.50BAHT   BAL000000027261733.00 TYPE-DE.
44088673004 D 20220102192640   000000000535495.75BAHT   BAL000000027797228.75 TYPE-DE.
44088673004 T 20220102195604   000000000000163.25BAHT   BAL000000027797065.50 TO10803011297.
44088673004 T 20220102200634   000000000000141.75BAHT   BAL000000027796923.75 TO85614200688.
44088673004 D 20220102203131   000000000114034.25BAHT   BAL000000027910958.00 TYPE-DE.
44088673004 D 20220102203226   000000000294420.00BAHT   BAL000000028205378.00 TYPE-DE.
44088673004 D 20220102205457   000000000735202.75BAHT   BAL000000028940580.75 TYPE-DE.
44088673004 D 20220102211321   000000000867874.25BAHT   BAL000000029808455.00 TYPE-DE.
44088673004 D 20220102213257   000000000495605.00BAHT   BAL000000030304060.00 TYPE-DE.
44088673004 D 20220102213328   000000000025642.00BAHT   BAL000000030329702.00 TYPE-DE.
44088673004 D 20220102214204   000000000575648.00BAHT   BAL000000030905350.00 TYPE-DE.
44088673004 T 20220102220619   000000000000198.75BAHT   BAL000000030905151.25 TO44002617524.
44088673004 D 20220102221532   000000000499132.75BAHT   BAL000000031404284.00 TYPE-DE.
44088673004 T 20220102224207   000000000000106.25BAHT   BAL000000031404177.75 TO11870049832.
44088673004 D 20220102225816   000000000091876.75BAHT   BAL000000031496054.50 TYPE-DE.
44088673004 T 20220102230016   000000000000174.50BAHT   BAL000000031495880.00 TO85614200688.
44088673004 T 20220102232530   000000000000128.50BAHT   BAL000000031495751.50 TO00010115943.
44088673004 T 20220102233448   000000000000147.75BAHT   BAL000000031495603.75 TO10803011297.
44088673004 T 20220102235120   000000000000110.75BAHT   BAL000000031495493.00 TO01133011122.
44088673004 T 20220103000658   000000000000119.25BAHT   BAL000000031495373.75 TO44002617524.
44088673004 T 20220103002027   000000000000112.25BAHT   BAL000000031495261.50 TO44002617524.
44088673004 T 20220103004635   000000000000133.50BAHT   BAL000000031495128.00 TO85614200688.
44088673004 D 20220103004954   000000000784331.25BAHT   BAL000000032279459.25 TYPE-DE.
44088673004 T 20220103011834   000000000000163.00BAHT   BAL000000032279296.25 TO01133011122.
44088673004 T 20220103013136   000000000000120.00BAHT   BAL000000032279176.25 TO11870049832.
44088673004 D 20220103013430   000000000137104.00BAHT   BAL000000032416280.25 TYPE-DE.
44088673004 D 20220103013512   000000000115803.00BAHT   BAL000000032532083.25 TYPE-DE.
44088673004 T 20220103013737   000000000000162.50BAHT   BAL000000032531920.75 TO11870049832.
44088673004 T 20220103020455   000000000000178.50BAHT   BAL000000032531742.25 TO85614200688.
44088673004 D 20220103021133   000000000888224.50BAHT   BAL000000033419966.75 TYPE-DE.
44088673004 T 20220103022518   000000000000170.25BAHT   BAL000000033419796.50 TO44002617524.
44088673004 T 20220103023841   000000000000127.00BAHT   BAL000000033419669.50 TO11870049832.
44088673004 T 20220103024323   000000000000175.50BAHT   BAL000000033419494.00 TO85614200688.
44088673004 D 20220103030436   000000000941276.25BAHT   BAL000000034360770.25 TYPE-DE.
44088673004 D 20220103032908   000000000111774.00BAHT   BAL000000034472544.25 TYPE-DE.
44088673004 D 20220103035547   000000000830756.00BAHT   BAL000000035303300.25 TYPE-DE.
44088673004 D 20220103041600   000000000394483.25BAHT   BAL000000035697783.50 TYPE-DE.
44088673004 D 20220103042310   000000000630553.50BAHT   BAL000000036328337.00 TYPE-DE.
44088673004 T 20220103043424   000000000000162.25BAHT   BAL000000036328174.75 TO44002617524.
44088673004 D 20220103050252   000000000174413.50BAHT   BAL000000036502588.25 TYPE-DE.
44088673004 T 20220103053020   000000000000105.25BAHT   BAL000000036502483.00 TO01133011122.
44088673004 D 20220103053832   000000000210687.25BAHT   BAL000000036713170.25 TYPE-DE.
44088673004 T 20220103054945   000000000000113.50BAHT   BAL000000036713056.75 TO85614200688.
44088673004 D 20220103055024   000000000532967.25BAHT   BAL000000037246024.00 TYPE-DE.
44088673004 T 20220103060231   000000000000197.50BAHT   BAL000000037245826.50 TO10803011297.
44088673004 D 20220103061912   000000000920797.50BAHT   BAL000000038166624.00 TYPE-DE.
44088673004 T 20220103062610   000000000000185.50BAHT   BAL000000038166438.50 TO44002617524.
44088673004 T 20220103065237   000000000000149.75BAHT   BAL000000038166288.75 TO01133011122.
44088673004 D 20220103071049   000000000180264.25BAHT   BAL000000038346553.00 TYPE-DE.
44088673004 D 20220103071549   000000000888001.75BAHT   BAL000000039234554.75 TYPE-DE.
44088673004 T 20220103072517   000000000000117.50BAHT   BAL000000039234437.25 TO44002617524.
44088673004 D 20220103072646   000000000027071.00BAHT   BAL000000039261508.25 TYPE-DE.
44088673004 D 20220103073646   000000000858350.75BAHT   BAL000000040119859.00 TYPE-DE.
44088673004 D 20220103075854   000000000682526.75BAHT   BAL000000040802385.75 TYPE-DE.
44088673004 D 20220103082203   000000000609492.25BAHT   BAL000000041411878.00 TYPE-DE.
44088673004 D 20220103084343   000000000003164.00BAHT   BAL000000041415042.00 TYPE-DE.
44088673004 T 20220101035935   000000000000119.00BAHT   BAL000000041415161.00 FROM44002617524.
44088673004 T 20220101195628   000000000000117.25BAHT   BAL000000041415278.25 FROM44002617524.
44088673004 T 20220101224529   000000000000167.75BAHT   BAL000000041415446.00 FROM44002617524.
44088673004 T 20220102023410   000000000000182.00BAHT   BAL000000041415628.00 FROM44002617524.
44088673004 T 20220102070422   000000000000194.75BAHT   BAL000000041415822.75 FROM44002617524.
44088673004 T 20220103112337   000000000000163.25BAHT   BAL000000041415986.00 FROM44002617524.
44088673004 T 20220104034257   000000000000117.00BAHT   BAL000000041416103.00 FROM44002617524.
44088673004 T 20220104064733   000000000000165.75BAHT   BAL000000041416268.75 FROM44002617524.
44088673004 T 20220104074154   000000000000153.00BAHT   BAL000000041416421.75 FROM44002617524.
44088673004 T 20220104094006   000000000000143.00BAHT   BAL000000041416564.75 FROM44002617524.
44088673004 T 20220101082447   000000000000167.75BAHT   BAL000000041416732.50 FROM85614200688.
44088673004 T 20220101140752   000000000000118.75BAHT   BAL000000041416851.25 FROM85614200688.
44088673004 T 20220101143148   000000000000177.50BAHT   BAL000000041417028.75 FROM85614200688.
44088673004 T 20220101143211   000000000000168.25BAHT   BAL000000041417197.00 FROM85614200688.
44088673004 T 20220101164634   000000000000184.00BAHT   BAL000000041417381.00 FROM85614200688.
44088673004 T 20220101171528   000000000000171.50BAHT   BAL000000041417552.50 FROM85614200688.
44088673004 T 20220101201442   000000000000170.75BAHT   BAL000000041417723.25 FROM85614200688.
44088673004 T 20220102014944   000000000000141.50BAHT   BAL000000041417864.75 FROM85614200688.
44088673004 T 20220102022920   000000000000181.50BAHT   BAL000000041418046.25 FROM85614200688.
44088673004 T 20220102033538   000000000000145.25BAHT   BAL000000041418191.50 FROM85614200688.
44088673004 T 20220102043245   000000000000147.00BAHT   BAL000000041418338.50 FROM85614200688.
44088673004 T 20220102084706   000000000000151.25BAHT   BAL000000041418489.75 FROM85614200688.
44088673004 T 20220102103749   000000000000178.50BAHT   BAL000000041418668.25 FROM85614200688.
44088673004 T 20220102111857   000000000000125.50BAHT   BAL000000041418793.75 FROM85614200688.
44088673004 T 20220102213714   000000000000157.50BAHT   BAL000000041418951.25 FROM85614200688.
44088673004 T 20220103045319   000000000000167.25BAHT   BAL000000041419118.50 FROM85614200688.
44088673004 T 20220103082048   000000000000199.00BAHT   BAL000000041419317.50 FROM85614200688.
44088673004 T 20220103104841   000000000000137.50BAHT   BAL000000041419455.00 FROM85614200688.
44088673004 T 20220103213926   000000000000138.50BAHT   BAL000000041419593.50 FROM85614200688.
44088673004 T 20220103225713   000000000000126.50BAHT   BAL000000041419720.00 FROM85614200688.
44088673004 T 20220103230615   000000000000112.75BAHT   BAL000000041419832.75 FROM85614200688.
44088673004 T 20220104003157   000000000000161.75BAHT   BAL000000041419994.50 FROM85614200688.
44088673004 T 20220104010245   000000000000162.25BAHT   BAL000000041420156.75 FROM85614200688.
44088673004 T 20220104012451   000000000000175.25BAHT   BAL000000041420332.00 FROM85614200688.
44088673004 T 20220104021113   000000000000139.00BAHT   BAL000000041420471.00 FROM85614200688.
44088673004 T 20220104025452   000000000000101.25BAHT   BAL000000041420572.25 FROM85614200688.
44088673004 T 20220101101749   000000000000189.25BAHT   BAL000000041420761.50 FROM11870049832.
44088673004 T 20220101113938   000000000000174.00BAHT   BAL000000041420935.50 FROM11870049832.
44088673004 T 20220101191250   000000000000171.00BAHT   BAL000000041421106.50 FROM11870049832.
44088673004 T 20220101201253   000000000000150.50BAHT   BAL000000041421257.00 FROM11870049832.
44088673004 T 20220102163516   000000000000183.75BAHT   BAL000000041421440.75 FROM11870049832.
44088673004 T 20220102211047   000000000000118.25BAHT   BAL000000041421559.00 FROM11870049832.
44088673004 T 20220102223628   000000000000141.25BAHT   BAL000000041421700.25 FROM11870049832.
44088673004 T 20220103062542   000000000000164.75BAHT   BAL000000041421865.00 FROM11870049832.
44088673004 T 20220103142622   000000000000153.25BAHT   BAL000000041422018.25 FROM11870049832.
44088673004 T 20220103144452   000000000000109.00BAHT   BAL000000041422127.25 FROM11870049832.
44088673004 T 20220103153029   000000000000148.00BAHT   BAL000000041422275.25 FROM11870049832.
44088673004 T 20220103175829   000000000000129.50BAHT   BAL000000041422404.75 FROM11870049832.
44088673004 T 20220103184127   000000000000120.25BAHT   BAL000000041422525.00 FROM11870049832.
44088673004 T 20220103201703   000000000000159.00BAHT   BAL000000041422684.00 FROM11870049832.
44088673004 T 20220101030846   000000000000148.25BAHT   BAL000000041422832.25 FROM01133011122.
44088673004 T 20220101033329   000000000000179.00BAHT   BAL000000041423011.25 FROM01133011122.
44088673004 T 20220101172315   000000000000135.00BAHT   BAL000000041423146.25 FROM01133011122.
44088673004 T 20220101213211   000000000000109.00BAHT   BAL000000041423255.25 FROM01133011122.
44088673004 T 20220102091620   000000000000163.25BAHT   BAL000000041423418.50 FROM01133011122.
44088673004 T 20220102094226   000000000000132.25BAHT   BAL000000041423550.75 FROM01133011122.
44088673004 T 20220102214301   000000000000198.25BAHT   BAL000000041423749.00 FROM01133011122.
44088673004 T 20220102224055   000000000000151.25BAHT   BAL000000041423900.25 FROM01133011122.
44088673004 T 20220103032638   000000000000131.75BAHT   BAL000000041424032.00 FROM01133011122.
