85614200688 I 20220101000000   000000001600231.25BAHT   BAL000000001600231.25 INITIAL.
85614200688 T 20220105010949   000000000000163.00BAHT   BAL000000001603811.75 FROM00010115943.
85614200688 T 20220105022319   000000000000123.75BAHT   BAL000000001603935.50 FROM00010115943.
85614200688 T 20220105031006   000000000000150.75BAHT   BAL000000001604086.25 FROM00010115943.
85614200688 T 20220105043242   000000000000119.00BAHT   BAL000000001604205.25 FROM00010115943.
85614200688 T 20220101003536   000000000000103.50BAHT   BAL000000001604308.75 FROM44088673004.
85614200688 T 20220101011314   000000000000177.75BAHT   BAL000000001604486.50 FROM44088673004.
85614200688 T 20220101021128   000000000000179.00BAHT   BAL000000001604665.50 FROM44088673004.
85614200688 T 20220101063941   000000000000111.50BAHT   BAL000000001604777.00 FROM44088673004.
85614200688 T 20220101170556   000000000000200.25BAHT   BAL000000001604977.25 FROM44088673004.
85614200688 T 20220101172817   000000000000124.50BAHT   BAL000000001605101.75 FROM44088673004.
85614200688 T 20220101232305   000000000000138.25BAHT   BAL000000001605240.00 FROM44088673004.
85614200688 T 20220102020459   000000000000132.75BAHT   BAL000000001605372.75 FROM44088673004.
85614200688 T 20220102043842   000000000000100.00BAHT   BAL000000001605472.75 FROM44088673004.
85614200688 T 20220102083107   000000000000118.00BAHT   BAL000000001605590.75 FROM44088673004.
85614200688 T 20220102130034   000000000000201.75BAHT   BAL000000001605792.50 FROM44088673004.
85614200688 T 20220102200634   000000000000141.75BAHT   BAL000000001605934.25 FROM44088673004.
85614200688 T 20220102230016   000000000000174.50BAHT   BAL000000001606108.75 FROM44088673004.
85614200688 T 20220103004635   000000000000133.50BAHT   BAL000000001606242.25 FROM44088673004.
85614200688 T 20220103020455   000000000000178.50BAHT   BAL000000001606420.75 FROM44088673004.
85614200688 T 20220103024323   000000000000175.50BAHT   BAL000000001606596.25 FROM44088673004.
85614200688 T 20220103054945   000000000000113.50BAHT   BAL000000001606709.75 FROM44088673004.
85614200688 T 20220101034326   000000000000125.25BAHT   BAL000000001606835.00 FROM44002617524.
85614200688 T 20220101160646   000000000000102.75BAHT   BAL000000001606937.75 FROM44002617524.
85614200688 T 20220101202335   000000000000201.00BAHT   BAL000000001607138.75 FROM44002617524.
85614200688 T 20220101212746   000000000000115.00BAHT   BAL000000001607253.75 FROM44002617524.
85614200688 T 20220102061121   000000000000116.00BAHT   BAL000000001607369.75 FROM44002617524.
85614200688 T 20220102111846   000000000000115.25BAHT   BAL000000001607485.00 FROM44002617524.
85614200688 T 20220102203834   000000000000194.00BAHT   BAL000000001607679.00 FROM44002617524.
85614200688 T 20220103075518   000000000000136.50BAHT   BAL000000001607815.50 FROM44002617524.
85614200688 T 20220103170752   000000000000183.25BAHT   BAL000000001607998.75 FROM44002617524.
85614200688 T 20220103204922   000000000000187.75BAHT   BAL000000001608186.50 FROM44002617524.
85614200688 T 20220103212323   000000000000162.50BAHT   BAL000000001608349.00 FROM44002617524.
85614200688 T 20220104060706   000000000000163.50BAHT   BAL000000001608512.50 FROM44002617524.
85614200688 T 20220104070109   000000000000192.00BAHT   BAL000000001608704.50 FROM44002617524.
85614200688 T 20220104095148   000000000000155.75BAHT   BAL000000001608860.25 FROM44002617524.
85614200688 T 20220104110829   000000000000157.75BAHT   BAL000000001609018.00 FROM44002617524.
85614200688 T 20220104171257   000000000000126.25BAHT   BAL000000001609144.25 FROM44002617524.
85614200688 D 20220101000741   000000000463309.75BAHT   BAL000000002072454.00 TYPE-DE.
85614200688 W 20220101001042   000000000000189.00BAHT   BAL000000002072265.00 .
85614200688 D 20220101003410   000000000812785.75BAHT   BAL000000002885050.75 TYPE-DE.
85614200688 W 20220101005207   000000000000130.00BAHT   BAL000000002884920.75 .
85614200688 W 20220101005427   000000000000185.75BAHT   BAL000000002884735.00 .
85614200688 T 20220101010735   000000000000200.25BAHT   BAL000000002884534.75 TO01133011122.
85614200688 D 20220101013307   000000000735216.25BAHT   BAL000000003619751.00 TYPE-DE.
85614200688 W 20220101020149   000000000000165.25BAHT   BAL000000003619585.75 .
85614200688 D 20220101020656   000000000074832.25BAHT   BAL000000003694418.00 TYPE-DE.
85614200688 T 20220101023218   000000000000169.25BAHT   BAL000000003694248.75 TO11870049832.
85614200688 T 20220101023641   000000000000104.00BAHT   BAL000000003694144.75 TO00010115943.
85614200688 D 20220101025911   000000000786043.25BAHT   BAL000000004480188.00 TYPE-DE.
85614200688 D 20220101031751   000000000901620.25BAHT   BAL000000005381808.25 TYPE-DE.
85614200688 T 20220101033704   000000000000181.00BAHT   BAL000000005381627.25 TO10803011297.
85614200688 D 20220101034454   000000000947709.00BAHT   BAL000000006329336.25 TYPE-DE.
85614200688 T 20220101034729   000000000000104.25BAHT   BAL000000006329232.00 TO11870049832.
85614200688 W 20220101035828   000000000000107.75BAHT   BAL000000006329124.25 .
85614200688 W 20220101042042   000000000000201.25BAHT   BAL000000006328923.00 .
85614200688 W 20220101044100   000000000000113.50BAHT   BAL000000006328809.50 .
85614200688 W 20220101050958   000000000000137.25BAHT   BAL000000006328672.25 .
85614200688 W 20220101052637   000000000000110.25BAHT   BAL000000006328562.00 .
85614200688 T 20220101054811   000000000000145.25BAHT   BAL000000006328416.75 TO11870049832.
85614200688 D 20220101060108   000000000734376.00BAHT   BAL000000007062792.75 TYPE-DE.
85614200688 D 20220101060520   000000000717458.50BAHT   BAL000000007780251.25 TYPE-DE.
85614200688 D 20220101062753   000000000907730.50BAHT   BAL000000008687981.75 TYPE-DE.
85614200688 W 20220101064017   000000000000166.50BAHT   BAL000000008687815.25 .
85614200688 T 20220101064928   000000000000153.00BAHT   BAL000000008687662.25 TO44002617524.
85614200688 W 20220101065955   000000000000118.25BAHT   BAL000000008687544.00 .
85614200688 T 20220101071600   000000000000171.00BAHT   BAL000000008687373.00 TO11870049832.
85614200688 W 20220101072419   000000000000200.00BAHT   BAL000000008687173.00 .
85614200688 W 20220101073508   000000000000154.50BAHT   BAL000000008687018.50 .
85614200688 W 20220101074941   000000000000158.75BAHT   BAL000000008686859.75 .
85614200688 D 20220101075710   000000000543428.00BAHT   BAL000000009230287.75 TYPE-DE.
85614200688 W 20220101080537   000000000000163.75BAHT   BAL000000009230124.00 .
85614200688 W 20220101082407   000000000000159.00BAHT   BAL000000009229965.00 .
85614200688 T 20220101082447   000000000000167.75BAHT   BAL000000009229797.25 TO44088673004.
85614200688 D 20220101083902   000000000079451.50BAHT   BAL000000009309248.75 TYPE-DE.
85614200688 W 20220101085323   000000000000172.00BAHT   BAL000000009309076.75 .
85614200688 W 20220101091859   000000000000138.00BAHT   BAL000000009308938.75 .
85614200688 D 20220101092009   000000000648544.50BAHT   BAL000000009957483.25 TYPE-DE.
85614200688 W 20220101092023   000000000000173.25BAHT   BAL000000009957310.00 .
85614200688 D 20220101094830   000000000951170.75BAHT   BAL000000010908480.75 TYPE-DE.
85614200688 D 20220101101602   000000000574868.50BAHT   BAL000000011483349.25 TYPE-DE.
85614200688 T 20220101102139   000000000000159.75BAHT   BAL000000011483189.50 TO44002617524.
85614200688 W 20220101104551   000000000000130.50BAHT   BAL000000011483059.00 .
85614200688 T 20220101104934   000000000000109.00BAHT   BAL000000011482950.00 TO01133011122.
85614200688 T 20220101110227   000000000000179.75BAHT   BAL000000011482770.25 TO11870049832.
85614200688 W 20220101111721   000000000000187.00BAHT   BAL000000011482583.25 .
85614200688 W 20220101112941   000000000000170.75BAHT   BAL000000011482412.50 .
85614200688 D 20220101114421   000000000013595.00BAHT   BAL000000011496007.50 TYPE-DE.
85614200688 D 20220101120719   000000000045632.50BAHT   BAL000000011541640.00 TYPE-DE.
85614200688 T 20220101123039   000000000000194.50BAHT   BAL000000011541445.50 TO00010115943.
85614200688 W 20220101124157   000000000000102.00BAHT   BAL000000011541343.50 .
85614200688 T 20220101130014   000000000000180.00BAHT   BAL000000011541163.50 TO44002617524.
85614200688 D 20220101131940   000000000877377.25BAHT   BAL000000012418540.75 TYPE-DE.
85614200688 W 20220101132239   000000000000111.00BAHT   BAL000000012418429.75 .
85614200688 T 20220101134624   000000000000170.50BAHT   BAL000000012418259.25 TO44002617524.
85614200688 W 20220101135538   000000000000143.50BAHT   BAL000000012418115.75 .
85614200688 T 20220101140752   000000000000118.75BAHT   BAL000000012417997.00 TO44088673004.
85614200688 D 20220101142652   000000000652733.25BAHT   BAL000000013070730.25 TYPE-DE.
85614200688 T 20220101143148   000000000000177.50BAHT   BAL000000013070552.75 TO44088673004.
85614200688 T 20220101143211   000000000000168.25BAHT   BAL000000013070384.50 TO44088673004.
85614200688 T 20220101150046   000000000000162.75BAHT   BAL000000013070221.75 TO10803011297.
85614200688 D 20220101152510   000000000969092.75BAHT   BAL000000014039314.50 TYPE-DE.
85614200688 T 20220101154414   000000000000101.50BAHT   BAL000000014039213.00 TO11870049832.
85614200688 W 20220101161101   000000000000185.50BAHT   BAL000000014039027.50 .
85614200688 D 20220101163637   000000000359083.75BAHT   BAL000000014398111.25 TYPE-DE.
85614200688 D 20220101164437   000000000154279.50BAHT   BAL000000014552390.75 TYPE-DE.
85614200688 T 20220101164634   000000000000184.00BAHT   BAL000000014552206.75 TO44088673004.
85614200688 T 20220101170342   000000000000189.50BAHT   BAL000000014552017.25 TO11870049832.
85614200688 T 20220101170403   000000000000123.50BAHT   BAL000000014551893.75 TO00010115943.
85614200688 W 20220101171213   000000000000134.25BAHT   BAL000000014551759.50 .
85614200688 T 20220101171528   000000000000171.50BAHT   BAL000000014551588.00 TO44088673004.
85614200688 T 20220101173508   000000000000157.00BAHT   BAL000000014551431.00 TO01133011122.
85614200688 W 20220101180052   000000000000107.25BAHT   BAL000000014551323.75 .
85614200688 D 20220101182954   000000000529287.00BAHT   BAL000000015080610.75 TYPE-DE.
85614200688 D 20220101185446   000000000199781.50BAHT   BAL000000015280392.25 TYPE-DE.
85614200688 D 20220101192051   000000000620569.25BAHT   BAL000000015900961.50 TYPE-DE.
85614200688 D 20220101194817   000000000031018.75BAHT   BAL000000015931980.25 TYPE-DE.
85614200688 D 20220101195951   000000000142938.00BAHT   BAL000000016074918.25 TYPE-DE.
85614200688 T 20220101201442   000000000000170.75BAHT   BAL000000016074747.50 TO44088673004.
85614200688 T 20220101202136   000000000000117.50BAHT   BAL000000016074630.00 TO44002617524.
85614200688 T 20220101204900   000000000000115.00BAHT   BAL000000016074515.00 TO00010115943.
85614200688 W 20220101210036   000000000000201.75BAHT   BAL000000016074313.25 .
85614200688 D 20220101211835   000000000615352.50BAHT   BAL000000016689665.75 TYPE-DE.
85614200688 T 20220101214826   000000000000109.50BAHT   BAL000000016689556.25 TO44002617524.
85614200688 D 20220101221130   000000000986044.50BAHT   BAL000000017675600.75 TYPE-DE.
85614200688 W 20220101221640   000000000000140.75BAHT   BAL000000017675460.00 .
85614200688 D 20220101223705   000000000242171.00BAHT   BAL000000017917631.00 TYPE-DE.
85614200688 T 20220101230154   000000000000198.75BAHT   BAL000000017917432.25 TO01133011122.
85614200688 W 20220101231200   000000000000164.75BAHT   BAL000000017917267.50 .
85614200688 T 20220101231711   000000000000174.00BAHT   BAL000000017917093.50 TO44002617524.
85614200688 D 20220101234649   000000000402972.25BAHT   BAL000000018320065.75 TYPE-DE.
85614200688 W 20220101235110   000000000000122.50BAHT   BAL000000018319943.25 .
85614200688 T 20220102001636   000000000000173.25BAHT   BAL000000018319770.00 TO44002617524.
85614200688 T 20220102003602   000000000000197.00BAHT   BAL000000018319573.00 TO00010115943.
85614200688 D 20220102003827   000000000797513.50BAHT   BAL000000019117086.50 TYPE-DE.
85614200688 D 20220102010548   000000000702144.50BAHT   BAL000000019819231.00 TYPE-DE.
85614200688 D 20220102011211   000000000336369.75BAHT   BAL000000020155600.75 TYPE-DE.
85614200688 T 20220102012447   000000000000156.50BAHT   BAL000000020155444.25 TO44002617524.
85614200688 T 20220102014944   000000000000141.50BAHT   BAL000000020155302.75 TO44088673004.
85614200688 W 20220102020022   000000000000180.50BAHT   BAL000000020155122.25 .
85614200688 W 20220102020850   000000000000159.50BAHT   BAL000000020154962.75 .
85614200688 T 20220102022920   000000000000181.50BAHT   BAL000000020154781.25 TO44088673004.
85614200688 T 20220102023155   000000000000133.25BAHT   BAL000000020154648.00 TO11870049832.
85614200688 T 20220102024321   000000000000104.75BAHT   BAL000000020154543.25 TO00010115943.
85614200688 D 20220102030153   000000000847016.25BAHT   BAL000000021001559.50 TYPE-DE.
85614200688 T 20220102030453   000000000000145.50BAHT   BAL000000021001414.00 TO10803011297.
85614200688 W 20220102031435   000000000000138.75BAHT   BAL000000021001275.25 .
85614200688 T 20220102031726   000000000000198.50BAHT   BAL000000021001076.75 TO00010115943.
85614200688 T 20220102033538   000000000000145.25BAHT   BAL000000021000931.50 TO44088673004.
85614200688 W 20220102034547   000000000000169.50BAHT   BAL000000021000762.00 .
85614200688 T 20220102040148   000000000000118.50BAHT   BAL000000021000643.50 TO01133011122.
85614200688 T 20220102042710   000000000000193.75BAHT   BAL000000021000449.75 TO44002617524.
85614200688 T 20220102043245   000000000000147.00BAHT   BAL000000021000302.75 TO44088673004.
85614200688 T 20220102045614   000000000000131.75BAHT   BAL000000021000171.00 TO11870049832.
85614200688 W 20220102050804   000000000000130.25BAHT   BAL000000021000040.75 .
85614200688 D 20220102051319   000000000480295.00BAHT   BAL000000021480335.75 TYPE-DE.
85614200688 W 20220102052246   000000000000133.00BAHT   BAL000000021480202.75 .
85614200688 W 20220102052946   000000000000130.25BAHT   BAL000000021480072.50 .
85614200688 W 20220102054608   000000000000189.75BAHT   BAL000000021479882.75 .
85614200688 T 20220102060123   000000000000153.75BAHT   BAL000000021479729.00 TO00010115943.
85614200688 T 20220102060415   000000000000188.50BAHT   BAL000000021479540.50 TO01133011122.
85614200688 T 20220102062724   000000000000195.50BAHT   BAL000000021479345.00 TO00010115943.
85614200688 D 20220102063408   000000000876931.50BAHT   BAL000000022356276.50 TYPE-DE.
85614200688 D 20220102063754   000000000094296.75BAHT   BAL000000022450573.25 TYPE-DE.
85614200688 W 20220102064934   000000000000178.25BAHT   BAL000000022450395.00 .
85614200688 T 20220102070326   000000000000153.50BAHT   BAL000000022450241.50 TO44002617524.
85614200688 T 20220102072018   000000000000156.50BAHT   BAL000000022450085.00 TO11870049832.
85614200688 W 20220102074801   000000000000120.75BAHT   BAL000000022449964.25 .
85614200688 T 20220102075745   000000000000121.50BAHT   BAL000000022449842.75 TO01133011122.
85614200688 D 20220102082437   000000000466429.50BAHT   BAL000000022916272.25 TYPE-DE.
85614200688 W 20220102082536   000000000000167.50BAHT   BAL000000022916104.75 .
85614200688 T 20220102084706   000000000000151.25BAHT   BAL000000022915953.50 TO44088673004.
85614200688 W 20220102090255   000000000000105.75BAHT   BAL000000022915847.75 .
85614200688 D 20220102092500   000000000411908.00BAHT   BAL000000023327755.75 TYPE-DE.
85614200688 W 20220102094059   000000000000159.25BAHT   BAL000000023327596.50 .
85614200688 T 20220102095351   000000000000137.25BAHT   BAL000000023327459.25 TO11870049832.
85614200688 D 20220102100530   000000000953238.25BAHT   BAL000000024280697.50 TYPE-DE.
85614200688 T 20220102102349   000000000000126.50BAHT   BAL000000024280571.00 TO11870049832.
85614200688 T 20220102102638   000000000000104.25BAHT   BAL000000024280466.75 TO00010115943.
85614200688 T 20220102103749   000000000000178.50BAHT   BAL000000024280288.25 TO44088673004.
85614200688 W 20220102104549   000000000000138.00BAHT   BAL000000024280150.25 .
85614200688 T 20220102111211   000000000000110.50BAHT   BAL000000024280039.75 TO10803011297.
85614200688 T 20220102111857   000000000000125.50BAHT   BAL000000024279914.25 TO44088673004.
85614200688 W 20220102114147   000000000000104.50BAHT   BAL000000024279809.75 .
85614200688 D 20220102115746   000000000457784.25BAHT   BAL000000024737594.00 TYPE-DE.
85614200688 D 20220102121353   000000000806357.50BAHT   BAL000000025543951.50 TYPE-DE.
85614200688 W 20220102121424   000000000000192.50BAHT   BAL000000025543759.00 .
85614200688 D 20220102123349   000000000759635.25BAHT   BAL000000026303394.25 TYPE-DE.
85614200688 T 20220102123545   000000000000198.50BAHT   BAL000000026303195.75 TO10803011297.
85614200688 W 20220102125133   000000000000157.00BAHT   BAL000000026303038.75 .
85614200688 W 20220102125146   000000000000169.50BAHT   BAL000000026302869.25 .
85614200688 D 20220102131933   000000000807297.50BAHT   BAL000000027110166.75 TYPE-DE.
85614200688 T 20220102132442   000000000000185.25BAHT   BAL000000027109981.50 TO00010115943.
85614200688 W 20220102132623   000000000000124.50BAHT   BAL000000027109857.00 .
85614200688 T 20220102133803   000000000000131.50BAHT   BAL000000027109725.50 TO00010115943.
85614200688 D 20220102140508   000000000188499.75BAHT   BAL000000027298225.25 TYPE-DE.
85614200688 D 20220102142655   000000000458357.25BAHT   BAL000000027756582.50 TYPE-DE.
85614200688 W 20220102144628   000000000000148.25BAHT   BAL000000027756434.25 .
85614200688 D 20220102150438   000000000304505.75BAHT   BAL000000028060940.00 TYPE-DE.
85614200688 W 20220102153027   000000000000190.50BAHT   BAL000000028060749.50 .
85614200688 W 20220102153407   000000000000129.25BAHT   BAL000000028060620.25 .
85614200688 D 20220102155513   000000000076876.50BAHT   BAL000000028137496.75 TYPE-DE.
85614200688 W 20220102160448   000000000000105.00BAHT   BAL000000028137391.75 .
85614200688 D 20220102162513   000000000585800.00BAHT   BAL000000028723191.75 TYPE-DE.
85614200688 W 20220102165318   000000000000114.00BAHT   BAL000000028723077.75 .
85614200688 T 20220102170052   000000000000128.75BAHT   BAL000000028722949.00 TO01133011122.
85614200688 D 20220102172938   000000000637820.00BAHT   BAL000000029360769.00 TYPE-DE.
85614200688 W 20220102175817   000000000000196.75BAHT   BAL000000029360572.25 .
85614200688 D 20220102180903   000000000329131.75BAHT   BAL000000029689704.00 TYPE-DE.
85614200688 T 20220102182815   000000000000120.25BAHT   BAL000000029689583.75 TO11870049832.
85614200688 D 20220102183819   000000000883456.50BAHT   BAL000000030573040.25 TYPE-DE.
85614200688 W 20220102185354   000000000000182.50BAHT   BAL000000030572857.75 .
85614200688 W 20220102191416   000000000000131.50BAHT   BAL000000030572726.25 .
85614200688 W 20220102192443   000000000000192.00BAHT   BAL000000030572534.25 .
85614200688 W 20220102194652   000000000000191.00BAHT   BAL000000030572343.25 .
85614200688 W 20220102195335   000000000000110.75BAHT   BAL000000030572232.50 .
85614200688 W 20220102195453   000000000000107.75BAHT   BAL000000030572124.75 .
85614200688 T 20220102200555   000000000000183.75BAHT   BAL000000030571941.00 TO11870049832.
85614200688 D 20220102200702   000000000790682.25BAHT   BAL000000031362623.25 TYPE-DE.
85614200688 D 20220102200834   000000000619779.75BAHT   BAL000000031982403.00 TYPE-DE.
85614200688 T 20220102203707   000000000000169.75BAHT   BAL000000031982233.25 TO11870049832.
85614200688 D 20220102205758   000000000546043.25BAHT   BAL000000032528276.50 TYPE-DE.
85614200688 T 20220102212051   000000000000182.75BAHT   BAL000000032528093.75 TO10803011297.
85614200688 T 20220102213714   000000000000157.50BAHT   BAL000000032527936.25 TO44088673004.
85614200688 D 20220102220325   000000000818528.75BAHT   BAL000000033346465.00 TYPE-DE.
85614200688 D 20220102221549   000000000687160.00BAHT   BAL000000034033625.00 TYPE-DE.
85614200688 D 20220102223325   000000000407844.25BAHT   BAL000000034441469.25 TYPE-DE.
85614200688 D 20220102223854   000000000119213.25BAHT   BAL000000034560682.50 TYPE-DE.
85614200688 W 20220102230232   000000000000182.25BAHT   BAL000000034560500.25 .
85614200688 W 20220102232118   000000000000145.75BAHT   BAL000000034560354.50 .
85614200688 D 20220102233612   000000000133734.75BAHT   BAL000000034694089.25 TYPE-DE.
85614200688 W 20220102233930   000000000000157.50BAHT   BAL000000034693931.75 .
85614200688 T 20220103000211   000000000000195.75BAHT   BAL000000034693736.00 TO10803011297.
85614200688 T 20220103000525   000000000000109.75BAHT   BAL000000034693626.25 TO11870049832.
85614200688 D 20220103000547   000000000098845.75BAHT   BAL000000034792472.00 TYPE-DE.
85614200688 W 20220103002341   000000000000126.75BAHT   BAL000000034792345.25 .
85614200688 T 20220103003642   000000000000187.50BAHT   BAL000000034792157.75 TO01133011122.
85614200688 T 20220103005341   000000000000143.25BAHT   BAL000000034792014.50 TO00010115943.
85614200688 D 20220103010705   000000000490389.00BAHT   BAL000000035282403.50 TYPE-DE.
85614200688 W 20220103011652   000000000000151.50BAHT   BAL000000035282252.00 .
85614200688 T 20220103011717   000000000000144.50BAHT   BAL000000035282107.50 TO44002617524.
85614200688 W 20220103014658   000000000000137.50BAHT   BAL000000035281970.00 .
85614200688 D 20220103021543   000000000402467.50BAHT   BAL000000035684437.50 TYPE-DE.
85614200688 D 20220103023209   000000000683218.25BAHT   BAL000000036367655.75 TYPE-DE.
85614200688 W 20220103024105   000000000000160.00BAHT   BAL000000036367495.75 .
85614200688 W 20220103025609   000000000000171.50BAHT   BAL000000036367324.25 .
85614200688 D 20220103030410   000000000299183.00BAHT   BAL000000036666507.25 TYPE-DE.
85614200688 D 20220103031154   000000000335212.25BAHT   BAL000000037001719.50 TYPE-DE.
85614200688 D 20220103032707   000000000670858.25BAHT   BAL000000037672577.75 TYPE-DE.
85614200688 D 20220103034119   000000000902807.50BAHT   BAL000000038575385.25 TYPE-DE.
85614200688 W 20220103035257   000000000000116.00BAHT   BAL000000038575269.25 .
85614200688 D 20220103041356   000000000647298.00BAHT   BAL000000039222567.25 TYPE-DE.
85614200688 D 20220103042546   000000000583246.75BAHT   BAL000000039805814.00 TYPE-DE.
85614200688 T 20220103045319   000000000000167.25BAHT   BAL000000039805646.75 TO44088673004.
85614200688 D 20220103051631   000000000980774.50BAHT   BAL000000040786421.25 TYPE-DE.
85614200688 T 20220103052451   000000000000165.50BAHT   BAL000000040786255.75 TO01133011122.
85614200688 D 20220103054446   000000000692962.50BAHT   BAL000000041479218.25 TYPE-DE.
85614200688 T 20220103060041   000000000000145.50BAHT   BAL000000041479072.75 TO10803011297.
85614200688 D 20220103060953   000000000883728.00BAHT   BAL000000042362800.75 TYPE-DE.
85614200688 W 20220103063019   000000000000171.00BAHT   BAL000000042362629.75 .
85614200688 D 20220103063028   000000000658407.25BAHT   BAL000000043021037.00 TYPE-DE.
85614200688 W 20220103065935   000000000000164.25BAHT   BAL000000043020872.75 .
85614200688 W 20220103070438   000000000000169.50BAHT   BAL000000043020703.25 .
85614200688 D 20220103073058   000000000589337.50BAHT   BAL000000043610040.75 TYPE-DE.
85614200688 T 20220103075404   000000000000144.00BAHT   BAL000000043609896.75 TO01133011122.
85614200688 T 20220103082048   000000000000199.00BAHT   BAL000000043609697.75 TO44088673004.
85614200688 D 20220103084919   000000000089048.25BAHT   BAL000000043698746.00 TYPE-DE.
85614200688 T 20220103085721   000000000000113.50BAHT   BAL000000043698632.50 TO44002617524.
85614200688 T 20220103090911   000000000000124.25BAHT   BAL000000043698508.25 TO01133011122.
85614200688 W 20220103091007   000000000000182.25BAHT   BAL000000043698326.00 .
85614200688 D 20220103091620   000000000864601.75BAHT   BAL000000044562927.75 TYPE-DE.
85614200688 W 20220103093551   000000000000201.25BAHT   BAL000000044562726.50 .
85614200688 D 20220103100433   000000000313384.75BAHT   BAL000000044876111.25 TYPE-DE.
85614200688 W 20220103101215   000000000000181.25BAHT   BAL000000044875930.00 .
85614200688 W 20220103103235   000000000000106.75BAHT   BAL000000044875823.25 .
85614200688 D 20220103103749   000000000800668.00BAHT   BAL000000045676491.25 TYPE-DE.
85614200688 W 20220103104551   000000000000104.50BAHT   BAL000000045676386.75 .
85614200688 T 20220103104841   000000000000137.50BAHT   BAL000000045676249.25 TO44088673004.
85614200688 T 20220103105159   000000000000175.00BAHT   BAL000000045676074.25 TO11870049832.
85614200688 D 20220103111213   000000000255067.75BAHT   BAL000000045931142.00 TYPE-DE.
85614200688 T 20220103113730   000000000000141.50BAHT   BAL000000045931000.50 TO10803011297.
85614200688 T 20220103114710   000000000000180.75BAHT   BAL000000045930819.75 TO44002617524.
85614200688 D 20220103115840   000000000440079.00BAHT   BAL000000046370898.75 TYPE-DE.
85614200688 T 20220103121758   000000000000122.75BAHT   BAL000000046370776.00 TO00010115943.
85614200688 D 20220103124119   000000000290554.25BAHT   BAL000000046661330.25 TYPE-DE.
85614200688 D 20220103130805   000000000573986.00BAHT   BAL000000047235316.25 TYPE-DE.
85614200688 D 20220103132652   000000000017700.50BAHT   BAL000000047253016.75 TYPE-DE.
85614200688 D 20220103135324   000000000746387.25BAHT   BAL000000047999404.00 TYPE-DE.
85614200688 D 20220103140937   000000000478401.50BAHT   BAL000000048477805.50 TYPE-DE.
85614200688 D 20220103142050   000000000844677.50BAHT   BAL000000049322483.00 TYPE-DE.
85614200688 T 20220103143059   000000000000152.00BAHT   BAL000000049322331.00 TO11870049832.
85614200688 D 20220103143322   000000000602673.50BAHT   BAL000000049925004.50 TYPE-DE.
85614200688 D 20220103143826   000000000090771.00BAHT   BAL000000050015775.50 TYPE-DE.
85614200688 D 20220103144258   000000000616519.75BAHT   BAL000000050632295.25 TYPE-DE.
85614200688 D 20220103150139   000000000460327.00BAHT   BAL000000051092622.25 TYPE-DE.
85614200688 D 20220103150142   000000000992023.25BAHT   BAL000000052084645.50 TYPE-DE.
85614200688 T 20220103150909   000000000000200.75BAHT   BAL000000052084444.75 TO11870049832.
85614200688 D 20220103153736   000000000971113.75BAHT   BAL000000053055558.50 TYPE-DE.
85614200688 D 20220103155503   000000000035650.25BAHT   BAL000000053091208.75 TYPE-DE.
85614200688 T 20220103161311   000000000000128.00BAHT   BAL000000053091080.75 TO10803011297.
